,player,passed_at_net,net_pts,passing_shot
0,Novak Djokovic,87,614,14.169381107491857
1,Gilles Muller,27,202,13.366336633663368
2,Dustin Brown,37,287,12.89198606271777
3,Ivo Karlovic,42,332,12.650602409638553
4,Feliciano Lopez,33,269,12.267657992565056
5,Roger Federer,148,1222,12.111292962356792
6,Rafael Nadal,19,194,9.793814432989691
7,Stan Wawrinka,23,243,9.465020576131687
8,Andy Murray,29,311,9.32475884244373
9,Samuel Groth,14,194,7.216494845360824
