Winner,Clay
Nadal R.,7
Federer R.,6
Murray A.,5
Djokovic N.,5
Chela J.I.,4
Monfils G.,4
Soderling R.,4
Fognini F.,4
Troicki V.,3
Falla A.,3
Wawrinka S.,3
Montanes A.,3
Ljubicic I.,3
Gasquet R.,3
Ferrer D.,3
Simon G.,3
Dolgopolov O.,2
Tipsarevic J.,2
Berrer M.,2
Verdasco F.,2
Mayer L.,2
Darcis S.,2
Kubot L.,2
Tsonga J.W.,2
Rosol L.,2
Bellucci T.,2
Garcia-Lopez G.,2
Veic A.,2
Del Potro J.M.,2
Fish M.,2
Youzhny M.,2
Stakhovsky S.,2
Robert S.,1
Riba P.,1
Seppi A.,1
Ramos A.,1
Ramirez-Hidalgo R.,1
Querrey S.,1
Rufin G.,1
Teixeira M.,1
Schoorel T.,1
Petzschner P.,1
Anderson K.,1
Nishikori K.,1
Granollers M.,1
Andujar P.,1
Baghdatis M.,1
Benneteau J.,1
Berlocq C.,1
Bolelli S.,1
Chardy J.,1
Clement A.,1
Davydenko N.,1
Haase R.,1
Melzer J.,1
Haider-Maurer A.,1
Hanescu V.,1
Ilhan M.,1
Kamke T.,1
Kavcic B.,1
Andreev I.,1
Malisse X.,1
Mayer F.,1
Kukushkin M.,1
