Winner,Hard
Williams S.,6
Jankovic J.,5
Zvonareva V.,4
Kuznetsova S.,4
Safina D.,3
Kanepi K.,3
Lisicki S.,3
Dementieva E.,3
Henin J.,3
Sugiyama A.,3
Vesnina E.,3
Williams V.,3
Wozniacki C.,3
Zheng J.,3
Harkleroad A.,2
Peer S.,2
Larcherde Brito M.,2
Safarova L.,2
Kleybanova A.,2
Erakovic M.,2
Davenport L.,2
Errani S.,2
Cibulkova D.,2
Chan Y.J.,1
De Los Rios R.,1
Schnyder P.,1
Sequera M.,1
Srebotnik K.,1
Hantuchova D.,1
Pin C.,1
Chakvetadze A.,1
Bychkova E.,1
Bondarenko K.,1
Wozniak A.,1
Bammer S.,1
Rodionova A.,1
Perebiynis T.,1
Ivanovic A.,1
Pennetta F.,1
Peng S.,1
Dechy N.,1
Paszek T.,1
Mauresmo A.,1
Loit E.,1
Domachowska M.,1
Azarenka V.,1
King V.,1
Kerber A.,1
Gallovits E.,1
Garbin T.,1
Arvidsson S.,1
