Winner,Clay
Zverev A.,6
Jarry N.,5
Tabilo A.,4
Zhang Zh.,4
Paul T.,4
Hurkacz H.,3
Fritz T.,3
Monteiro T.,3
Tsitsipas S.,3
Borges N.,3
Muller A.,3
Darderi L.,2
Napolitano S.,2
Khachanov K.,2
Kecmanovic M.,2
Baez S.,2
Atmane T.,2
Koepfer D.,2
De Minaur A.,2
Medjedovic H.,2
Medvedev D.,2
Passaro F.,2
Dimitrov G.,2
Nishioka Y.,1
Norrie C.,1
Rune H.,1
Rublev A.,1
Seyboth Wild T.,1
Shelton B.,1
Shevchenko A.,1
Struff J.L.,1
Van De Zandschulp B.,1
Vukic A.,1
Nardi L.,1
Arnaldi M.,1
Nadal R.,1
Munar J.,1
Auger-Aliassime F.,1
Carballes Baena R.,1
Cerundolo F.,1
Cobolli F.,1
Djokovic N.,1
Draper J.,1
Etcheverry T.,1
Fognini F.,1
Gigante M.,1
Giron M.,1
Hanfmann Y.,1
Karatsev A.,1
Korda S.,1
Lajovic D.,1
Moutet C.,1
Kotov P.,1
