Winner,Grass
Djokovic N.,7
Berrettini M.,6
Hurkacz H.,5
Shapovalov D.,5
Fucsovics M.,4
Auger-Aliassime F.,4
Khachanov K.,4
Federer R.,4
Sonego L.,3
Korda S.,3
Ivashka I.,3
Rublev A.,3
Garin C.,3
Zverev A.,3
Medvedev D.,3
Bautista Agut R.,3
Schwartzman D.,2
Martinez P.,2
Kyrgios N.,2
Norrie C.,2
Kudla D.,2
Koepfer D.,2
Bedene A.,2
Thompson J.,2
Cilic M.,2
Fritz T.,2
Duckworth J.,2
Tiafoe F.,2
Evans D.,2
Bublik A.,2
Murray A.,2
Fognini F.,2
Ymer M.,1
Nishikori K.,1
Nishioka Y.,1
Sandgren T.,1
Van De Zandschulp B.,1
Otte O.,1
Polmans M.,1
Seppi A.,1
Vesely J.,1
Querrey S.,1
Pospisil V.,1
Alcaraz C.,1
Monfils G.,1
Mager G.,1
Andujar P.,1
Bolt A.,1
Bonzi B.,1
Broady L.,1
Chardy J.,1
Dimitrov G.,1
Djere L.,1
Galan D.E.,1
Gasquet R.,1
Gerasimov E.,1
Giron M.,1
Harris L.,1
Hoang A.,1
Johnson S.,1
Anderson K.,1
Kwon S.W.,1
Lajovic D.,1
Kecmanovic M.,1
