Winner,Hard
Zvonareva V.,6
Ivanovic A.,5
Pavlyuchenkova A.,5
Azarenka V.,4
Radwanska U.,3
Radwanska A.,3
Craybas J.,3
Peer S.,3
Bammer S.,3
Wozniacki C.,3
Safina D.,3
Llagostera Vives N.,3
Li N.,3
Pennetta F.,2
Szavay A.,2
Kvitova P.,2
Knapp K.,2
Cetkovska P.,2
Vesnina E.,2
Barrois K.,2
Haynes A.,2
Hantuchova D.,2
Glatch A.,2
Dushevina V.,2
Vaidisova N.,2
Vinci R.,1
Wickmayer Y.,1
Stosur S.,1
Shvedova Y.,1
Safarova L.,1
Wozniak A.,1
Razzano V.,1
Yakimova A.,1
Mirza S.,1
Pironkova T.,1
Peng S.,1
Paszek T.,1
Chakvetadze A.,1
Mauresmo A.,1
Bacsinszky T.,1
Makarova E.,1
Kleybanova A.,1
Kanepi K.,1
Groenefeld A.L.,1
Govortsova O.,1
Gallovits E.,1
Dulko G.,1
Chan Y.J.,1
Mattek-Sands B.,1
