Winner,Clay
Sabalenka A.,6
Swiatek I.,5
Sherif M.,4
Kudermetova V.,4
Sakkari M.,4
Begu I.,3
Pegula J.,3
Andreeva M.,3
Martic P.,3
Alexandrova E.,2
Kasatkina D.,2
Osorio M.,2
Niemeier J.,2
Mertens E.,2
Masarova R.,2
Krejcikova B.,2
Kalinskaya A.,2
Parks A.,2
Trevisan M.,2
Samsonova L.,2
Badosa P.,2
Wang Xiy.,2
Tsurenko L.,2
Pavlyuchenkova A.,1
Zanevska M.,1
Vondrousova M.,1
Parrizas Diaz N.,1
Rus A.,1
Pera B.,1
Potapova A.,1
Putintseva Y.,1
Sasnovich A.,1
Rogers S.,1
Siegemund L.,1
Mcnally C.,1
Ostapenko J.,1
Muchova K.,1
Bogdan A.,1
Bouchard E.,1
Bouzkova M.,1
Burillo I.,1
Cirstea S.,1
Cocciaretto E.,1
Cornet A.,1
Cristian J.,1
Frech M.,1
Fruhvirtova L.,1
Garcia C.,1
Gauff C.,1
Grabher J.,1
Kovinic D.,1
Linette M.,1
Maria T.,1
Marino R.,1
Zheng Q.,1
