Winner,Clay
Rybakina E.,6
Kalinina A.,5
Ostapenko J.,4
Badosa P.,4
Kudermetova V.,4
Zheng Q.,3
Wang Xiy.,3
Vondrousova M.,3
Osorio M.,3
Muchova K.,3
Swiatek I.,3
Haddad Maia B.,3
Keys M.,2
Kenin S.,2
Kasatkina D.,2
Kalinskaya A.,2
Townsend T.,2
Tsurenko L.,2
Giorgi C.,2
Bondar A.,2
Bouzkova M.,2
Vekic D.,2
Grabher J.,2
Potapova A.,1
Putintseva Y.,1
Pavlyuchenkova A.,1
Ruse E.G.,1
Strycova B.,1
Sakkari M.,1
Samsonova L.,1
Sasnovich A.,1
Stephens S.,1
Pigato L.,1
Azarenka V.,1
Parrizas Diaz N.,1
Paolini J.,1
Blinkova A.,1
Bogdan A.,1
Cirstea S.,1
Cocciaretto E.,1
Cornet A.,1
Frech M.,1
Garcia C.,1
Gauff C.,1
Kontaveit A.,1
Kostyuk M.,1
Kovinic D.,1
Krejcikova B.,1
Linette M.,1
Mcnally C.,1
Noskova L.,1
Liu C.,1
