Winner,Hard
Del Potro J.M.,7
Federer R.,6
Nadal R.,5
Djokovic N.,5
Gonzalez F.,4
Verdasco F.,4
Soderling R.,4
Cilic M.,4
Isner J.,3
Ferrero J.C.,3
Monfils G.,3
Murray A.,3
Davydenko N.,3
Robredo T.,3
Stepanek R.,3
Tsonga J.W.,3
Haas T.,2
Querrey S.,2
Roddick A.,2
Simon G.,2
Kohlschreiber P.,2
Koellerer D.,2
Istomin D.,2
Almagro N.,2
Witten J.,2
Hewitt L.,2
Acasuso J.,2
Blake J.,2
Dent T.,2
Chiudinelli M.,2
Benneteau J.,2
Berdych T.,2
Capdeville P.,1
Ouanna J.,1
Petzschner P.,1
Chela J.I.,1
Rochus O.,1
Greul S.,1
Serra F.,1
Navarro-Pastor I.,1
Troicki V.,1
Bellucci T.,1
Beck A.,1
Ball C.,1
Youzhny M.,1
Nieminen J.,1
Cuevas P.,1
Granollers M.,1
Kiefer N.,1
Hernych J.,1
Gonzalez M.,1
Ilhan M.,1
Ginepri R.,1
Gicquel M.,1
Kendrick R.,1
Kim K.,1
Devvarman S.,1
Garcia-Lopez G.,1
Ferrer D.,1
Lapentti N.,1
Levine J.,1
Mayer L.,1
Melzer J.,1
Zeballos H.,1
