Winner,Hard
Hantuchova D.,6
Kuznetsova S.,5
Li N.,4
Bammer S.,4
Peer S.,3
Golovin T.,3
Zvonareva V.,3
Vaidisova N.,3
Petrova N.,2
Ivanovic A.,2
Meusburger Y.,2
Rolle A.,2
Likhovtseva E.,2
Sharapova M.,2
Sugiyama A.,2
Jankovic J.,2
Molik A.,2
Azarenka V.,2
Hingis M.,2
Dechy N.,2
Granville L.,2
Chakvetadze A.,2
Bartoli M.,2
Rodionova A.,1
Bondarenko A.,1
Safarova L.,1
Safina D.,1
Schiavone F.,1
Benesova I.,1
Stosur S.,1
Pratt N.,1
Sucha M.,1
Sun T.T.,1
Tanasugarn T.,1
Tu M.,1
Bardina V.,1
Wozniacki C.,1
Yuan M.,1
Radwanska A.,1
Brianti A.,1
Pironkova T.,1
Dominguez Lino L.,1
Kanepi K.,1
King V.,1
Kirilenko M.,1
Krajicek M.,1
Garbin T.,1
Dulko G.,1
Lucic M.,1
Perry S.,1
Domachowska M.,1
Craybas J.,1
Muller M.,1
Nakamura A.,1
Oprandi R.,1
Peng S.,1
Mattek B.,1
