,player,pts_won,net_pts,net_efficiency
0,Caroline Wozniacki,11,12,91.66666666666666
1,Bianca Andreescu,39,56,69.64285714285714
2,Coco Vandeweghe,12,18,66.66666666666666
3,Karolina Muchova,8,12,66.66666666666666
4,Lindsay Davenport,18,27,66.66666666666666
5,Petra Kvitova,11,17,64.70588235294117
6,Daniela Hantuchova,9,15,60.0
7,Arantxa Sanchez Vicario,30,51,58.82352941176471
8,Victoria Azarenka,13,24,54.166666666666664
9,Steffi Graf,15,28,53.57142857142857
10,Jessica Pegula,8,17,47.05882352941176
