,player,pts_won,net_pts,net_efficiency
0,Victoria Azarenka,82,107,76.63551401869158
1,Garbine Muguruza,85,116,73.27586206896551
2,Serena Williams,125,173,72.25433526011561
3,Bianca Andreescu,68,97,70.10309278350515
4,Caroline Wozniacki,93,136,68.38235294117648
5,Martina Hingis,87,133,65.41353383458647
6,Ashleigh Barty,60,97,61.855670103092784
7,Chris Evert,79,129,61.240310077519375
8,Karolina Muchova,93,157,59.23566878980891
9,Martina Navratilova,104,193,53.8860103626943
10,Helena Sukova,60,125,48.0
