,player,passed_at_net,net_pts,passing_shot
0,Hubert Hurkacz,16,89,17.97752808988764
1,Daniil Medvedev,8,52,15.384615384615385
2,Giovanni Mpetshi Perricard,6,40,15.0
3,Carlos Alcaraz,6,44,13.636363636363635
4,Lorenzo Musetti,7,53,13.20754716981132
5,Jannik Sinner,5,58,8.620689655172415
6,Tommy Paul,4,47,8.51063829787234
7,Novak Djokovic,5,64,7.8125
8,Alex Michelsen,3,43,6.976744186046512
9,Matteo Berrettini,4,78,5.128205128205128
