,player,passed_at_net,net_pts,passing_shot
0,Botic Van De Zandschulp,9,31,29.03225806451613
1,Quentin Halys,4,22,18.181818181818183
2,Hubert Hurkacz,6,36,16.666666666666664
3,Casper Ruud,4,25,16.0
4,Carlos Alcaraz,7,45,15.555555555555555
5,Adrian Mannarino,5,33,15.151515151515152
6,Alex De Minaur,3,22,13.636363636363635
7,Jiri Lehecka,3,22,13.636363636363635
8,Emil Ruusuvuori,3,34,8.823529411764707
9,Jannik Sinner,3,51,5.88235294117647
10,Karen Khachanov,1,24,4.166666666666666
11,Thanasi Kokkinakis,0,22,0.0
