,player,pts_won,net_pts,net_efficiency
0,Jannik Sinner,735,971,75.6951596292482
1,Botic Van De Zandschulp,287,392,73.21428571428571
2,Carlos Alcaraz,512,710,72.11267605633803
3,Casper Ruud,298,419,71.1217183770883
4,Lorenzo Musetti,336,484,69.42148760330579
5,Novak Djokovic,517,749,69.02536715620828
6,Hubert Hurkacz,992,1439,68.9367616400278
7,Alexander Zverev,527,769,68.53055916775033
8,Tallon Griekspoor,298,436,68.34862385321101
9,Daniil Medvedev,343,518,66.21621621621621
