Winner,Grass
Vekic D.,11
Shnaider D.,9
Krejcikova B.,9
Boulter K.,8
Paolini J.,8
Putintseva Y.,8
Raducanu E.,8
Samsonova L.,8
Kasatkina D.,8
Navarro E.,7
Fernandez L.A.,7
Kalinskaya A.,7
Pegula J.,6
Rybakina E.,6
Jabeur O.,6
Andreescu B.,6
Ostapenko J.,5
Keys M.,5
Dart H.,5
Gauff C.,5
Alexandrova E.,5
Siniakova K.,5
Badosa P.,5
Pliskova Ka.,4
Sun L.,4
Wozniacki C.,4
Tomljanovic A.,4
Svitolina E.,4
Galfi D.,4
Niemeier J.,3
Minnen G.,3
Parry D.,3
Kudermetova V.,3
Noskova L.,3
Osaka N.,3
Tomova V.,3
Wang Xin.,3
Potapova A.,3
Yastremska D.,3
Haddad Maia B.,3
Zhu L.,3
Mertens E.,3
Montgomery R.,3
Azarenka V.,3
Collins D.,3
Cocciaretto E.,3
Yuan Y.,2
Krueger A.,2
Krunic A.,2
Kartal S.,2
Kalinina A.,2
Blinkova A.,2
Jones F.,2
Pera B.,2
Birrell K.,2
Swiatek I.,2
Bouzas Maneiro J.,2
Kostyuk M.,2
Snigur D.,2
Sakkari M.,2
Saville D.,2
Dolehide C.,2
Frech M.,2
Bouzkova M.,2
Stephens S.,2
Muchova K.,2
Stearns P.,1
Bronzetti L.,1
Todoni A.,1
Starodubtseva Y.,1
Burel C.,1
Lamens S.,1
Naef C.,1
Siegemund L.,1
Martic P.,1
Stefanini L.,1
Linette M.,1
Pavlyuchenkova A.,1
Miyazaki Y.,1
Sonmez Z.,1
Maria T.,1
Marino R.,1
Bucsa C.,1
Gracheva V.,1
Rus A.,1
Fruhvirtova B.,1
Osorio M.,1
Fruhvirtova L.,1
Avanesyan E.,1
Andreeva E.,1
Volynets K.,1
Vondrousova M.,1
Golubic V.,1
Zheng Q.,1
Garcia C.,1
Wang Y.,1
Watson H.,1
Sabalenka A.,1
Bektas E.,1
Begu I.,0
Sasnovich A.,0
Bejlek S.,0
Schmiedlova A.,0
Sorribes Tormo S.,0
Sawangkaew M.,0
Shibahara E.,0
Seidel E.,0
Selekhmeteva O.,0
Bassols M.,0
Semenistaja D.,0
Sevastova A.,0
Sharma A.,0
Shi H.,0
Sherif M.,0
Ferro F.,0
Sramkova R.,0
Stakusic M.,0
Zheng S.,0
Zhao C.,0
Zhang S.,0
Zarazua R.,0
Zakharova A.,0
Andreeva M.,0
Yao X.,0
Anisimova A.,0
Wei S.,0
Wang Xiy.,0
Arango E.,0
Waltert S.,0
Von Deichmann K.,0
Vickery S.,0
Uchijima M.,0
Tsurenko L.,0
Trevisan M.,0
Townsend T.,0
Bai Z.,0
Timofeeva M.,0
Teichmann J.,0
Tauson C.,0
Salkova D.,0
Baptiste H.,0
Bara I.,0
Stojanovic N.,0
Stevanovic N.,0
Tararudee L.,0
Podoroska N.,0
Saito S.,0
Ruzic A.,0
Kudermetova P.,0
Korpatsch T.,0
Korneeva A.,0
Cornet A.,0
Kessler M.,0
Kerber A.,0
Kenin S.,0
Cristian J.,0
Danilovic O.,0
Juvan K.,0
Jovic I.,0
Joint M.,0
Jimenez Kasintseva V.,0
Janicijevic S.,0
Jacquemot E.,0
Dodin O.,0
Ito A.,0
Ishii S.,0
Hunter S.,0
Hontama M.,0
Hon P.,0
Hibino N.,0
Hartono A.,0
Glushko L.,0
Giorgi C.,0
Eala A.,0
Gao X.,0
Errani S.,0
Gadecki O.,0
Lepchenko V.,0
Li A.,0
Liu C.,0
Boskovic L.,0
Ruse E.G.,0
Rosatello C.,0
Rogers S.,0
Rodionova Ar.,0
Riera J.,0
Rakhimova K.,0
Pridankina E.,0
Preston T.,0
Bogdan A.,0
Ponchet J.,0
Fett J.,0
Bondar A.,0
Pigossi L.,0
Parrizas Diaz N.,0
Lys E.,0
Parks A.,0
Paquet C.,0
Okamura K.,0
Bulgaru M.,0
Noha Akugue N.,0
Burrage J.,0
Carle M.,0
Monnet C.,0
Chwalinska M.,0
Cirstea S.,0
Masarova R.,0
Makarova E.,0
Ma Y.,0
Zidansek T.,0
