Winner,Hard
Sabalenka A.,40
Gauff C.,35
Zheng Q.,30
Navarro E.,30
Swiatek I.,27
Badosa P.,26
Kostyuk M.,26
Kasatkina D.,26
Shnaider D.,26
Pegula J.,26
Haddad Maia B.,24
Frech M.,24
Rybakina E.,24
Kalinskaya A.,24
Yuan Y.,24
Andreeva M.,23
Azarenka V.,21
Pavlyuchenkova A.,21
Boulter K.,21
Alexandrova E.,20
Noskova L.,20
Paolini J.,20
Putintseva Y.,19
Mertens E.,18
Wang Xin.,18
Siniakova K.,18
Ostapenko J.,18
Parry D.,17
Fernandez L.A.,17
Potapova A.,17
Bouzkova M.,17
Avanesyan E.,16
Samsonova L.,16
Collins D.,16
Sramkova R.,16
Linette M.,16
Svitolina E.,16
Wang Xiy.,15
Pliskova Ka.,15
Anisimova A.,15
Muchova K.,15
Bronzetti L.,14
Tomova V.,13
Stearns P.,13
Townsend T.,13
Osaka N.,13
Vekic D.,12
Burel C.,12
Wang Y.,12
Dolehide C.,12
Rus A.,11
Siegemund L.,11
Krueger A.,10
Kudermetova V.,10
Kalinina A.,10
Tauson C.,10
Sakkari M.,10
Wozniacki C.,10
Kenin S.,10
Cristian J.,10
Volynets K.,9
Raducanu E.,9
Cirstea S.,9
Bogdan A.,9
Krejcikova B.,9
Bucsa C.,9
Zhu L.,9
Tsurenko L.,9
Golubic V.,9
Minnen G.,9
Maria T.,8
Blinkova A.,8
Yastremska D.,8
Podoroska N.,8
Rakhimova K.,8
Kessler M.,8
Gracheva V.,8
Cocciaretto E.,8
Sonmez Z.,8
Danilovic O.,8
Sorribes Tormo S.,8
Stephens S.,8
Garcia C.,8
Lamens S.,7
Pera B.,7
Andreeva E.,7
Osorio M.,7
Saville D.,7
Sun L.,7
Bouzas Maneiro J.,7
Keys M.,7
Starodubtseva Y.,6
Lys E.,6
Schmiedlova A.,6
Martic P.,6
Kartal S.,5
Stakusic M.,5
Gadecki O.,5
Fett J.,5
Zhang S.,5
Zarazua R.,5
Trevisan M.,5
Dodin O.,5
Baptiste H.,5
Birrell K.,5
Dart H.,5
Kudermetova P.,5
Sawangkaew M.,5
Li A.,5
Korneeva A.,4
Uchijima M.,4
Errani S.,4
Rodionova Ar.,4
Parks A.,4
Vondrousova M.,4
Hontama M.,4
Niemeier J.,4
Sevastova A.,4
Zakharova A.,4
Tomljanovic A.,4
Masarova R.,4
Timofeeva M.,4
Hibino N.,4
Bondar A.,4
Ruse E.G.,3
Ruzic A.,3
Shibahara E.,3
Wei S.,3
Seidel E.,3
Zidansek T.,3
Giorgi C.,3
Paquet C.,3
Korpatsch T.,3
Kerber A.,3
Ito A.,3
Hunter S.,3
Hartono A.,3
Fruhvirtova B.,3
Lepchenko V.,3
Parrizas Diaz N.,3
Ponchet J.,3
Burrage J.,2
Fruhvirtova L.,2
Galfi D.,2
Shi H.,2
Watson H.,2
Teichmann J.,2
Ishii S.,2
Boskovic L.,2
Stojanovic N.,2
Stefanini L.,2
Jacquemot E.,2
Janicijevic S.,2
Arango E.,2
Jabeur O.,2
Montgomery R.,2
Andreescu B.,2
Selekhmeteva O.,2
Riera J.,2
Saito S.,2
Gao X.,1
Chwalinska M.,1
Glushko L.,1
Okamura K.,1
Vickery S.,1
Von Deichmann K.,1
Cornet A.,1
Waltert S.,1
Rogers S.,1
Carle M.,1
Bulgaru M.,1
Yao X.,1
Begu I.,1
Bassols M.,1
Zhao C.,1
Bai Z.,1
Zheng S.,1
Todoni A.,1
Pridankina E.,1
Ma Y.,1
Miyazaki Y.,1
Hon P.,1
Preston T.,1
Jovic I.,1
Joint M.,1
Juvan K.,1
Liu C.,1
Semenistaja D.,1
Salkova D.,1
Tararudee L.,1
Krunic A.,0
Snigur D.,0
Pigossi L.,0
Bejlek S.,0
Bektas E.,0
Jones F.,0
Bara I.,0
Monnet C.,0
Jimenez Kasintseva V.,0
Rosatello C.,0
Makarova E.,0
Stevanovic N.,0
Marino R.,0
Eala A.,0
Sasnovich A.,0
Ferro F.,0
Noha Akugue N.,0
Naef C.,0
Sharma A.,0
Sherif M.,0
