,player,pts_won,net_pts,net_efficiency
0,Stefanos Tsitsipas,16,18,88.88888888888889
1,Roger Federer,19,22,86.36363636363636
2,Hubert Hurkacz,78,106,73.58490566037736
3,Felix Auger Aliassime,11,15,73.33333333333333
4,Nick Kyrgios,11,15,73.33333333333333
5,Ugo Humbert,53,73,72.6027397260274
6,Benjamin Bonzi,11,16,68.75
7,Pierre Hugues Herbert,19,28,67.85714285714286
8,Filip Krajinovic,10,15,66.66666666666666
9,Benoit Paire,14,22,63.63636363636363
10,Daniil Medvedev,10,16,62.5
11,Alexander Bublik,8,17,47.05882352941176
12,Stan Wawrinka,6,15,40.0
