,player,pts_won,net_pts,net_efficiency
0,Diego Schwartzman,24,28,85.71428571428571
1,Roberto Bautista Agut,24,29,82.75862068965517
2,Hubert Hurkacz,88,118,74.57627118644068
3,Novak Djokovic,21,29,72.41379310344827
4,Denis Shapovalov,38,53,71.69811320754717
5,Alexander Zverev,25,35,71.42857142857143
6,Stefanos Tsitsipas,44,66,66.66666666666666
7,Alex De Minaur,53,87,60.91954022988506
8,Daniel Evans,32,56,57.14285714285714
9,Alexander Cozbinov,22,43,51.162790697674424
