Winner,Hard
Monfils G.,9
Lehecka J.,8
Djokovic N.,7
Sinner J.,7
Zverev A.,6
Paul T.,6
Michelsen A.,6
Mensik J.,6
Sonego L.,5
Auger-Aliassime F.,5
Shelton B.,5
Opelka R.,5
Borges N.,5
Kecmanovic M.,5
Korda S.,4
Giron M.,4
Alcaraz C.,4
Davidovich Fokina A.,4
Carballes Baena R.,4
De Minaur A.,4
Bergs Z.,4
Bonzi B.,4
Diaz Acosta F.,3
Rune H.,3
Dimitrov G.,3
Humbert U.,3
Mpetshi G.,3
Kokkinakis T.,3
Basavareddy N.,3
Thompson J.,3
Tien L.,3
Draper J.,3
Vukic A.,3
Shapovalov D.,2
Cazaux A.,2
Musetti L.,2
Moutet C.,2
Tiafoe F.,2
Marozsan F.,2
Machac T.,2
Nishioka Y.,2
Khachanov K.,2
Fearnley J.,2
Cerundolo F.,2
Jarry N.,2
Fritz T.,2
Etcheverry T.,2
Hijikata R.,2
Fils A.,2
Krueger M.,1
Berrettini M.,1
Ruud C.,1
Schoolkate T.,1
Fonseca J.,1
Struff J.L.,1
Arnaldi M.,1
Garin C.,1
Faria J.,1
Duckworth J.,1
Tu L.,1
Diallo G.,1
Passaro F.,1
Gaston H.,1
O Connell C.,1
Lajovic D.,1
Nishikori K.,1
Navone M.,1
Nardi L.,1
Nakashima B.,1
Guinard M.,1
Habib H.,1
Halys Q.,1
Boyer T.,1
Carreno Busta P.,1
Medvedev D.,1
Hurkacz H.,1
Martinez P.,1
Altmaier D.,1
Mccabe J.,1
