Winner,Hard
Norrie C.,6
Basilashvili N.,5
Dimitrov G.,4
Fritz T.,4
Zverev A.,3
Tsitsipas S.,3
Paul T.,3
Schwartzman D.,3
Hurkacz H.,3
Ruud C.,2
Monfils G.,2
Medvedev D.,2
Anderson K.,2
Khachanov K.,2
Karatsev A.,2
Ramos-Vinolas A.,2
Murray A.,2
Tiafoe F.,2
De Minaur A.,2
Sinner J.,2
Nakashima B.,1
Opelka R.,1
Vukic A.,1
Nishikori K.,1
Nishioka Y.,1
Tabilo A.,1
Taberner C.,1
Struff J.L.,1
Ruusuvuori E.,1
Shapovalov D.,1
Pella G.,1
Popyrin A.,1
Pospisil V.,1
Sandgren T.,1
Rublev A.,1
Altmaier D.,1
Millman J.,1
Escobedo E.,1
Bautista Agut R.,1
Berrettini M.,1
Brooksby J.,1
Carballes Baena R.,1
Carreno Busta P.,1
Caruso S.,1
Cressy M.,1
Daniel T.,1
Davidovich Fokina A.,1
Eubanks C.,1
Mcdonald M.,1
Evans D.,1
Fognini F.,1
Garin C.,1
Giron M.,1
Gomez E.,1
Harris L.,1
Isner J.,1
Krajinovic F.,1
Mager G.,1
Martinez P.,1
