Winner,Hard
Kenin S.,7
Muguruza G.,6
Barty A.,5
Halep S.,5
Kvitova P.,4
Kontaveit A.,4
Pavlyuchenkova A.,4
Jabeur O.,4
Kerber A.,3
Swiatek I.,3
Gauff C.,3
Wang Q.,3
Riske A.,3
Sakkari M.,3
Bertens K.,3
Mertens E.,3
Svitolina E.,2
Rybakina E.,2
Osaka N.,2
Pliskova Ka.,2
Keys M.,2
Putintseva Y.,2
Alexandrova E.,2
Williams S.,2
Zhang S.,2
Vekic D.,2
Goerges J.,2
Giorgi C.,2
Bellis C.,2
Diyas Z.,2
Bencic B.,2
Wozniacki C.,2
Zhu L.,1
Rus A.,1
Zheng S.,1
Rodionova Ar.,1
Yastremska D.,1
Townsend T.,1
Siegemund L.,1
Sorribes Tormo S.,1
Suarez Navarro C.,1
Watson H.,1
Tomljanovic A.,1
Mcnally C.,1
Ostapenko J.,1
Muchova K.,1
Blinkova A.,1
Cirstea S.,1
Collins D.,1
Cornet A.,1
Dart H.,1
Davis L.,1
Ferro F.,1
Garcia C.,1
Hercog P.,1
Hibino N.,1
Hon P.,1
Krejcikova B.,1
Kuznetsova S.,1
Li A.,1
Martic P.,1
Badosa P.,1
Minnen G.,1
Zidansek T.,1
