Winner,Hard
Rybakina E.,6
Sabalenka A.,5
Muchova K.,4
Sakkari M.,4
Cirstea S.,4
Swiatek I.,4
Vondrousova M.,3
Peterson R.,3
Raducanu E.,3
Kvitova P.,3
Gauff C.,3
Gracheva V.,3
Noskova L.,2
Pera B.,2
Pliskova Ka.,2
Krejcikova B.,2
Pegula J.,2
Garcia C.,2
Teichmann J.,2
Tsurenko L.,2
Wang Xin.,2
Parrizas Diaz N.,1
Siniakova K.,1
Rogers S.,1
Stearns P.,1
Rodina E.,1
Potapova A.,1
Trevisan M.,1
Wang Xiy.,1
Sasnovich A.,1
Andreescu B.,1
Ostapenko J.,1
Navarro E.,1
Blinkova A.,1
Brengle M.,1
Bucsa C.,1
Fernandez L.A.,1
Frech M.,1
Fruhvirtova L.,1
Galfi D.,1
Giorgi C.,1
Haddad Maia B.,1
Jabeur O.,1
Kalinina A.,1
Kalinskaya A.,1
Kasatkina D.,1
Kenin S.,1
Kudermetova V.,1
Liu C.,1
Mandlik E.,1
Maria T.,1
Badosa P.,1
Yastremska D.,1
