Winner,Clay
Andujar P.,4
Ramos A.,4
Andreev I.,3
Cipolla F.,3
Chardy J.,2
Garcia-Lopez G.,2
Gutierrez-Ferrol S.,2
Paire B.,2
Bachinger M.,1
Hanescu V.,1
Mathieu P.H.,1
Ouahab L.,1
Starace P.,1
