,player,pts_won,net_pts,net_efficiency
0,Rafael Nadal,99,126,78.57142857142857
1,Juan Martin Del Potro,107,149,71.81208053691275
2,Roger Federer,429,621,69.08212560386472
3,Andy Murray,88,129,68.21705426356588
4,Jo Wilfried Tsonga,87,131,66.41221374045801
5,Lleyton Hewitt,77,118,65.2542372881356
6,Tommy Haas,82,129,63.565891472868216
7,Novak Djokovic,226,358,63.128491620111724
8,Robin Soderling,74,118,62.71186440677966
9,Radek Stepanek,111,182,60.98901098901099
10,Andy Roddick,233,396,58.838383838383834
