Winner,Hard
Ivanovic A.,6
Kuznetsova S.,5
Jankovic J.,4
Sharapova M.,4
Zvonareva V.,3
Harkleroad A.,3
Radwanska A.,3
Wozniacki C.,3
Davenport L.,3
Dellacqua C.,3
Hantuchova D.,3
Mirza S.,2
Medina Garrigues A.,2
Rodina E.,2
Kerber A.,2
Schiavone F.,2
Peng S.,2
Chan Y.J.,2
Voskoboeva G.,2
Zheng J.,2
Bartoli M.,2
Bondarenko A.,2
Peer S.,1
Pennetta F.,1
Pironkova T.,1
Rezai A.,1
Zakopalova K.,1
Sugiyama A.,1
Rolle A.,1
Safina D.,1
Savchuk O.,1
Yan Z.,1
Vesnina E.,1
Schruff J.,1
Amanmuradova A.,1
Paszek T.,1
Oudin M.,1
Arvidsson S.,1
Cibulkova D.,1
Cohen Aloro S.,1
Craybas J.,1
Daniilidou E.,1
Dulko G.,1
Gallovits E.,1
Garbin T.,1
Haynes A.,1
Kanepi K.,1
King V.,1
Koryttseva M.,1
Kudryavtseva A.,1
Makarova E.,1
Arn G.,1
Nakamura A.,1
Olaru I.,1
Mauresmo A.,1
