,player,pts_won,net_pts,net_efficiency
0,Dominic Thiem,49,62,79.03225806451613
1,Stefanos Tsitsipas,31,41,75.60975609756098
2,Grigor Dimitrov,39,53,73.58490566037736
3,Roger Federer,44,60,73.33333333333333
4,Jannik Sinner,116,163,71.16564417177914
5,Hubert Hurkacz,131,185,70.8108108108108
6,Andy Murray,29,41,70.73170731707317
7,Frances Tiafoe,37,54,68.51851851851852
8,Jiri Novak,27,41,65.85365853658537
9,Daniil Medvedev,57,89,64.04494382022472
10,Karen Khachanov,34,56,60.71428571428571
11,Daniel Evans,27,48,56.25
