,player,passed_at_net,net_pts,passing_shot
0,Andy Roddick,11,40,27.500000000000004
1,Andre Agassi,12,58,20.689655172413794
2,Marat Safin,9,45,20.0
3,Boris Becker,11,64,17.1875
4,Juan Carlos Ferrero,7,44,15.909090909090908
5,Carlos Moya,7,52,13.461538461538462
6,Roger Federer,29,260,11.153846153846155
7,Gaston Gaudio,3,33,9.090909090909092
8,Sebastien Grosjean,3,34,8.823529411764707
9,Lleyton Hewitt,13,155,8.38709677419355
