,player,passed_at_net,net_pts,passing_shot
0,Fabian Marozsan,13,82,15.853658536585366
1,Alexander Zverev,12,79,15.18987341772152
2,Roger Federer,34,235,14.468085106382977
3,Stefanos Tsitsipas,13,95,13.684210526315791
4,Novak Djokovic,38,288,13.194444444444445
5,Andy Murray,14,122,11.475409836065573
6,Hubert Hurkacz,18,169,10.650887573964498
7,Jannik Sinner,6,57,10.526315789473683
8,Rafael Nadal,6,78,7.6923076923076925
9,Grigor Dimitrov,5,69,7.246376811594203
10,Nikolay Davydenko,3,57,5.263157894736842
