Player,Ace Rate,num_matches
John Isner,0.258228008573755,54
Ivo Karlovic,0.24223254400621516,56
Gilles Muller,0.19732066166861487,59
Nick Kyrgios,0.18036128452554953,55
Kevin Anderson,0.1751229154973374,38
Milos Raonic,0.1746722783081616,71
Sam Querrey,0.15782419499557143,51
Marin Cilic,0.1395840395179321,73
Feliciano Lopez,0.12543704399959646,55
Gael Monfils,0.1160359424976136,62
Nicolas Almagro,0.11554415090870217,44
Steve Johnson,0.11301515162517814,58
Jo-Wilfried Tsonga,0.11271020530106905,54
Vasek Pospisil,0.11246255582882725,33
Bernard Tomic,0.1078618061378959,54
Tomas Berdych,0.10773869450083082,60
Aljaz Bedene,0.10723992011886736,31
Viktor Troicki,0.10705046822289209,63
Jeremy Chardy,0.10427053951146557,38
Taylor Fritz,0.10363784320596843,37
Jiri Vesely,0.10011670140076227,44
Juan Martin del Potro,0.09745455402898714,44
Pablo Cuevas,0.09668441506957136,57
Alexandr Dolgopolov,0.09619398930617098,35
Lucas Pouille,0.09465837649130106,57
Benoit Paire,0.09460280619245555,55
Inigo Cervantes Huegun,0.09424331282206744,36
Andy Murray,0.09011219999658032,89
Jack Sock,0.08929712726494785,58
Rajeev Ram,0.08870397509569865,31
Robin Haase,0.08825075690732598,36
Denis Istomin,0.08680533665806472,30
Stan Wawrinka,0.086783993384799,64
Marcos Baghdatis,0.08500920990004233,49
Jan Lennard Struff,0.08362167384788827,31
Lukas Rosol,0.08139155561116536,40
Borna Coric,0.0809527045007874,47
Andrey Kuznetsov,0.08091405503634996,51
Alexander Zverev,0.07992615016271917,68
Fernando Verdasco,0.07965161211829438,55
Dominic Thiem,0.07785543017808029,84
Philipp Kohlschreiber,0.07581457865753398,55
Kyle Edmund,0.07578272710761384,42
Grigor Dimitrov,0.07473607858482087,66
Nicolas Mahut,0.07206948959504744,43
Pablo Carreno Busta,0.0678166112405465,67
Guido Pella,0.06711586800232133,39
David Goffin,0.06694852156845803,74
Illya Marchenko,0.06635237796491522,37
Adrian Mannarino,0.06516264324851928,54
Andreas Seppi,0.06403194463583511,45
Thomaz Bellucci,0.06374826223511466,43
Marcel Granollers,0.06237195939807426,47
Federico Delbonis,0.06150335714862206,51
Stephane Robert,0.06017461787258878,32
Paolo Lorenzi,0.05943225799958536,51
John Millman,0.05937040298374955,40
Paul Henri Mathieu,0.05801661334181343,38
Donald Young,0.05788056101830856,39
Guillermo Garcia Lopez,0.05735890067269022,53
Dusan Lajovic,0.05642635031273034,42
Richard Gasquet,0.05606634485604722,53
Novak Djokovic,0.05577872611123583,75
Teymuraz Gabashvili,0.05502648985968529,35
Mikhail Youzhny,0.05317570546775941,37
Malek Jaziri,0.05304604830084674,39
Joao Sousa,0.05084671571813216,60
Kei Nishikori,0.048647656558365886,80
Albert Ramos,0.04794148111788515,65
Diego Schwartzman,0.04612792121235008,34
Roberto Bautista Agut,0.04603251624300664,74
Fabio Fognini,0.045918617268658896,49
Gilles Simon,0.042779575460642566,59
David Ferrer,0.04072697932604555,59
Mikhail Kukushkin,0.037195095174466904,35
Juan Monaco,0.036917653094417364,32
Rafael Nadal,0.035517729723788416,55
Damir Dzumhur,0.03361248804966876,45
