Player,Break Point Save %,num_matches
Ivo Karlovic,0.7832275132275132,66
Roger Federer,0.7550467914438502,78
Andy Roddick,0.7538327721661054,70
Radek Stepanek,0.7180651878927741,50
Ivan Ljubicic,0.7101668533486715,67
Tomas Berdych,0.7080897613916483,71
Nicolas Kiefer,0.7019668737060042,31
Benjamin Becker,0.6933991710879003,53
Rafael Nadal,0.6882648515640843,86
Carlos Moya,0.6855092385188837,65
Paul Henri Mathieu,0.6850106837606837,70
Tommy Haas,0.6827448778806245,57
Novak Djokovic,0.682013838013838,87
Michael Llodra,0.6744662744662745,31
Nicolas Mahut,0.6692465192465192,42
David Nalbandian,0.668391780737882,49
Potito Starace,0.6651320745546888,51
Feliciano Lopez,0.6633686773930676,52
Florent Serra,0.6581544645830361,40
Jonas Bjorkman,0.6574754819115721,40
Mikhail Youzhny,0.6558637151379086,75
Marcos Baghdatis,0.6542385054847667,70
David Ferrer,0.6519511486902791,84
James Blake,0.650357903423706,80
Arnaud Clement,0.647491600540381,50
Nicolas Almagro,0.6465084061237908,61
Thomas Johansson,0.6422731739804911,51
Marc Gicquel,0.6406021062271062,46
Juan Martin del Potro,0.6390502354788069,53
Guillermo Canas,0.6378288786377021,61
Juan Carlos Ferrero,0.6377938023448859,57
Robin Soderling,0.6302582493758965,43
Richard Gasquet,0.6299040758092482,74
Nicolas Massu,0.629876048471874,43
Robby Ginepri,0.6278261970350647,31
Marat Safin,0.6258658008658009,43
Tommy Robredo,0.6230360267368549,75
Andy Murray,0.6209004943047496,57
Stefan Koubek,0.6203685968723562,50
Fernando Verdasco,0.6183971274346434,62
Diego Hartfield,0.6183867823905418,34
Lleyton Hewitt,0.6181820894226909,52
Amer Delic,0.6172021554834055,33
Frank Dancevic,0.6169195052259568,37
Juan Monaco,0.6164510110681032,60
Andreas Seppi,0.6148384266805319,46
Fabrice Santoro,0.6145817145817146,43
Teymuraz Gabashvili,0.6139417566560423,38
Jurgen Melzer,0.6120930805305805,49
Nikolay Davydenko,0.6113123426281322,85
Gilles Simon,0.6111749702388451,61
Stan Wawrinka,0.6098568098568098,45
Philipp Kohlschreiber,0.6083670556496643,60
Igor Andreev,0.6072345798409627,63
Vincent Spadea,0.6044045647335121,52
Hyung Taik Lee,0.6016368016368017,48
Albert Montanes,0.6010556587899335,48
Fernando Gonzalez,0.6003600566100565,61
Olivier Rochus,0.5989273153746838,46
Sam Querrey,0.5988868567815936,41
Alejandro Falla,0.5988075813075813,31
Jose Acasuso,0.5975206275206275,41
Janko Tipsarevic,0.5972061888728555,41
Gael Monfils,0.5968766613503456,42
Agustin Calleri,0.5937256510427242,49
Juan Ignacio Chela,0.5934681227863046,65
Luis Horna,0.587636645073716,37
Mardy Fish,0.5862789987789988,47
Max Mirnyi,0.585093288354158,31
Sergio Roitman,0.5840224291837195,36
Dmitry Tursunov,0.5805211455211455,51
Julien Benneteau,0.5714894148404787,50
Kristof Vliegen,0.5623730844319079,42
Evgeny Korolev,0.5617660794490063,44
Jarkko Nieminen,0.5551135203384338,60
Sebastien Grosjean,0.5481427576255162,39
Guillermo Garcia Lopez,0.5479483777870874,35
Igor Kunitsyn,0.5368653251006192,40
Martin Vassallo Arguello,0.518193345116422,34
Filippo Volandri,0.507847280924204,45
Florian Mayer,0.5055764805764806,43
Dominik Hrbaty,0.48627190689843575,31
