Player,First Serve Win %,num_matches
Quentin Halys,0.8071884290611736,33
Hubert Hurkacz,0.7990827781043135,68
Taylor Fritz,0.7957407779574629,77
Alexander Bublik,0.7860031437675561,52
Stefanos Tsitsipas,0.782457653328868,74
Novak Djokovic,0.7822464303854731,63
Felix Auger Aliassime,0.7794063827357409,42
Nicolas Jarry,0.7775631870446124,59
Jack Draper,0.7765396644916255,31
Jannik Sinner,0.7724432058184587,84
Grigor Dimitrov,0.7706067576199821,64
Frances Tiafoe,0.7704813728960703,60
Tallon Griekspoor,0.7702159050061335,62
Thanasi Kokkinakis,0.7668631935015862,32
Stan Wawrinka,0.7649243383282813,50
Alexei Popyrin,0.7641965973391998,47
Daniil Medvedev,0.761664833015747,85
Andrey Rublev,0.7579379080114158,81
Arthur Rinderknech,0.7574659858137148,35
Sebastian Korda,0.756885326934482,43
Ben Shelton,0.7566158979413813,49
Aslan Karatsev,0.7520019578865179,41
Jan Lennard Struff,0.7517241110144626,37
Jordan Thompson,0.7488694932758547,42
Karen Khachanov,0.7470992074964293,52
Brandon Nakashima,0.7461692936270267,33
Arthur Fils,0.7448772826827381,42
Ugo Humbert,0.7426751198812949,57
J J Wolf,0.7408612033952114,51
Alexander Zverev,0.7402468966074723,82
Max Purcell,0.738123664661661,30
Borna Coric,0.7375441131808617,41
Christopher Eubanks,0.7362327104168763,41
Roman Safiullin,0.7352612168222731,39
Marcos Giron,0.7351430392896592,53
Christopher Oconnell,0.7314978006316311,42
Carlos Alcaraz,0.7308087852898218,77
Holger Rune,0.7297269019209534,70
Marc Andrea Huesler,0.7296637021690558,35
Benjamin Bonzi,0.7291688026505958,32
Alex De Minaur,0.7290676201182639,74
Laslo Djere,0.7289675280810486,62
Tommy Paul,0.7272013237003873,68
Daniel Evans,0.7247062800631444,44
Emil Ruusuvuori,0.722120174507879,51
Dominic Thiem,0.7218245441009292,43
Cristian Garin,0.7202520213323859,39
Lorenzo Sonego,0.7201616516919032,58
Casper Ruud,0.7197250140403108,59
Jiri Lehecka,0.7168481039665807,61
Marton Fucsovics,0.7164608003168232,44
Zhizhen Zhang,0.7162773311902441,36
Lorenzo Musetti,0.7155320197370628,62
Adrian Mannarino,0.7153706378588665,67
Tomas Martin Etcheverry,0.7140363177942785,57
Andy Murray,0.7130109848850356,34
Pedro Cachin,0.7118111099842803,37
Richard Gasquet,0.7094319874164888,40
Mackenzie Mcdonald,0.7094009613821471,61
Cameron Norrie,0.708479559892391,61
Gregoire Barrere,0.705452871743127,45
Roberto Bautista Agut,0.7020573789509165,38
Miomir Kecmanovic,0.700616322600915,57
Botic Van De Zandschulp,0.6998404654420899,48
Matteo Arnaldi,0.6988390729926202,35
Pavel Kotov,0.6972328840236064,30
Daniel Elahi Galan,0.6947624851181762,31
Alexander Shevchenko,0.6930297411004017,33
Roberto Carballes Baena,0.689516411895032,43
Daniel Altmaier,0.6858429474057842,38
Francisco Cerundolo,0.6840168988358755,64
Juan Pablo Varillas,0.6833399335636429,37
Dusan Lajovic,0.682038435717781,47
Luca Van Assche,0.6799301788333872,31
Alejandro Davidovich Fokina,0.6785884021644778,59
Yannick Hanfmann,0.6700970138461021,45
Alex Molcan,0.6627388086451591,34
Sebastian Baez,0.6577872280948133,57
Albert Ramos,0.6577576011631457,38
Jaume Munar,0.655611696672765,34
Yoshihito Nishioka,0.6465994940236082,41
Bernabe Zapata Miralles,0.6264962921030183,43
Diego Schwartzman,0.6050185008512813,38
