Player,Ace Rate,num_matches
Milos Raonic,0.23174789017661868,33
Jan Lennard Struff,0.13319461989201092,30
Daniil Medvedev,0.13282703609051302,38
Alexander Zverev,0.12597905832784972,39
Andrey Rublev,0.12416365147669972,51
Alexander Bublik,0.12317011683071462,30
Felix Auger Aliassime,0.11598912410960911,42
Denis Shapovalov,0.11254633482770132,32
Stefanos Tsitsipas,0.09576912152985646,44
Ugo Humbert,0.09520775130677277,36
Novak Djokovic,0.0875526924801951,46
Karen Khachanov,0.08147117918726515,35
Dominic Thiem,0.07320353992879243,34
Adrian Mannarino,0.06467568648989247,31
Rafael Nadal,0.06407046626626066,34
Pablo Carreno Busta,0.06262477621115707,32
John Millman,0.06145826602538557,31
Casper Ruud,0.0586281830047201,35
Cristian Garin,0.05732579842669247,30
Grigor Dimitrov,0.052159417749873475,30
Daniel Evans,0.052039426436221496,33
Dusan Lajovic,0.0512639711248863,30
Jannik Sinner,0.048662467036129045,31
Diego Schwartzman,0.029333114124046565,41
