Player,Break Point Save %,num_matches
Andy Roddick,0.7694529428904429,66
Rafael Nadal,0.7479479316979316,81
Roger Federer,0.736131449579264,79
Stan Wawrinka,0.7162292568542569,55
Michael Llodra,0.7118759018759019,51
Tomas Berdych,0.7094124057760421,71
Marin Cilic,0.7041195704879916,62
John Isner,0.7040195619982854,62
Jo-Wilfried Tsonga,0.7029005208883258,47
Sam Querrey,0.7024824267612728,63
Robin Soderling,0.7016461492651969,79
Leonardo Mayer,0.694879723451152,34
Feliciano Lopez,0.692403230835799,51
Novak Djokovic,0.6685009447566008,81
Jeremy Chardy,0.6659270034708631,55
Mardy Fish,0.6655306994592709,55
Andy Murray,0.66470595681122,64
Richard Gasquet,0.6642731620950267,62
Daniel Gimeno Traver,0.6642132934815862,43
Philipp Kohlschreiber,0.6633092779838712,63
Florian Mayer,0.6621713812503286,42
David Ferrer,0.6567537787219496,84
Jarkko Nieminen,0.6567494137806638,58
Paul Henri Mathieu,0.6555043372916677,32
Ernests Gulbis,0.6554253495042969,51
Jurgen Melzer,0.6533030521666885,78
Thiemo De Bakker,0.6520281886135545,52
Ivan Ljubicic,0.6482404103832675,46
Janko Tipsarevic,0.6473617756512493,48
Viktor Troicki,0.6418134920634921,69
Albert Montanes,0.6373985395611693,62
Yen Hsun Lu,0.6372706106529636,35
Victor Hanescu,0.6368751288394146,50
Denis Istomin,0.6361409583596285,61
Radek Stepanek,0.6345205389848247,35
Marcos Baghdatis,0.6344886751666412,70
Arnaud Clement,0.6342586233211233,40
Taylor Dent,0.6327538585057383,31
Fernando Verdasco,0.6313466241331354,65
Horacio Zeballos,0.6295724414474415,44
Nicolas Almagro,0.6294777642991928,70
Xavier Malisse,0.6288306832056831,45
Benjamin Becker,0.6284235916588858,61
Gael Monfils,0.6278177827154435,66
Nikolay Davydenko,0.6261192279942279,50
Alexandr Dolgopolov,0.6254420966630269,44
Julien Benneteau,0.6249916019652861,45
Andrey Golubev,0.624057804940158,45
Potito Starace,0.6232817093779661,51
Igor Andreev,0.6217839049495396,36
James Blake,0.6213023643023643,32
Mikhail Youzhny,0.620720434536224,63
Philipp Petzschner,0.6175399162241267,40
Alejandro Falla,0.6156337390208358,34
Sergiy Stakhovsky,0.61372704283101,52
Gilles Simon,0.6133913308913309,42
David Nalbandian,0.6131043386941752,39
Florent Serra,0.6125507680821852,46
Santiago Giraldo,0.6122272148952821,44
Peter Luczak,0.6106096011268425,36
Marco Chiudinelli,0.6092874092874093,43
Kevin Anderson,0.6092241092241092,32
Michael Berrer,0.608566530368856,48
Guillermo Garcia Lopez,0.6075734595832635,54
Juan Carlos Ferrero,0.5959603429152301,47
Tommy Robredo,0.5956339004133122,43
Illya Marchenko,0.593803180946038,40
Rainer Schuettler,0.5935816498316498,30
Olivier Rochus,0.5909389029847507,39
Thomaz Bellucci,0.589239600269012,60
Lukas Lacko,0.5880619380619381,41
Lleyton Hewitt,0.5855452674897119,34
Evgeny Korolev,0.5853993228993228,32
Juan Ignacio Chela,0.5820173485934356,52
Marcel Granollers,0.5815021022338096,43
Jan Hajek,0.5783081860668067,34
Pablo Cuevas,0.5779525094586103,43
Simon Greul,0.5770599143263503,38
Andreas Seppi,0.5737826515887741,52
Juan Monaco,0.5712934819317799,50
Mischa Zverev,0.5577022184165041,32
Dudi Sela,0.5555465024730392,36
Lukasz Kubot,0.5544487044487045,41
Eduardo Schwank,0.5524127107460441,38
Michael Russell,0.5300132275132275,34
Fabio Fognini,0.51815542924839,42
