Player,First Serve Win %,num_matches
Ivo Karlovic,0.8203429842353837,36
Andy Roddick,0.799023943052394,70
Ivan Ljubicic,0.7983692945059477,81
Mardy Fish,0.7881337508265782,41
Roger Federer,0.777110339661432,97
Agustin Calleri,0.764789411899345,51
Tommy Haas,0.7640660959677857,70
Max Mirnyi,0.762529966200132,47
Tomas Berdych,0.7605766122273419,72
Robin Soderling,0.7586028933035667,58
Mario Ancic,0.7550386344217205,73
Feliciano Lopez,0.753307788009096,48
Daniele Bracciali,0.7524811381035461,42
Jose Acasuso,0.7509637810302053,54
Janko Tipsarevic,0.7497039790782649,30
Marcos Baghdatis,0.7448617686620027,57
Dmitry Tursunov,0.7445237430496735,77
Radek Stepanek,0.7437726083669917,45
Richard Gasquet,0.7392239219926021,56
Nicolas Almagro,0.738853982307868,47
Marat Safin,0.7384592306166939,61
Sebastien Grosjean,0.7375757152221851,48
Paradorn Srichaphan,0.7370866297841374,63
Xavier Malisse,0.7364667802202637,55
Wesley Moodie,0.7342167882161804,32
Carlos Moya,0.733423112351296,52
James Blake,0.731887980647777,85
Fernando Gonzalez,0.731180234362022,72
Kenneth Carlsen,0.7258870568288848,33
Gilles Muller,0.725290153576145,33
Florian Mayer,0.7248267684639289,47
Justin Gimelstob,0.7243801196485785,34
Novak Djokovic,0.7227047885456117,58
Rafael Nadal,0.7210503140019355,72
Kristof Vliegen,0.7208136251538407,55
Stan Wawrinka,0.7197340488006317,57
Nikolay Davydenko,0.716911887004756,99
Tim Henman,0.7154681661512163,51
Arnaud Clement,0.7152440473080006,49
Lleyton Hewitt,0.7147757064048668,48
Nicolas Massu,0.7113356625550916,65
Nicolas Mahut,0.7046397432303613,30
Paul Henri Mathieu,0.704265775418904,51
Philipp Kohlschreiber,0.704108119445306,45
Jonas Bjorkman,0.7024485133970424,32
Dominik Hrbaty,0.7020552828485701,60
Jarkko Nieminen,0.7019635801649239,82
Ruben Ramirez Hidalgo,0.6995527749328855,45
Robby Ginepri,0.6975474173096107,50
Gael Monfils,0.6960385462727476,39
Jurgen Melzer,0.6930833586609786,60
Juan Ignacio Chela,0.6920079492194434,57
Andy Murray,0.69171360679238,65
Luis Horna,0.6914469352099006,41
Vincent Spadea,0.6912834977490027,45
Mikhail Youzhny,0.6909704093021981,47
Hyung Taik Lee,0.6894696848442262,39
Fernando Verdasco,0.6879329405681763,58
Tommy Robredo,0.6866685207230552,78
Juan Carlos Ferrero,0.6841956640234158,51
Rainer Schuettler,0.6822519510183648,33
Fabrice Santoro,0.680273369328046,42
Bjorn Phau,0.6796843006647518,42
Davide Sanguinetti,0.679444108817979,36
David Nalbandian,0.6785792417445738,63
Olivier Rochus,0.6778467196079511,53
Gaston Gaudio,0.6774912401474011,48
Gilles Simon,0.6699681467877845,48
Guillermo Garcia Lopez,0.6691877471210942,35
Julien Benneteau,0.6683684845607784,46
Andreas Seppi,0.6646996897039861,50
Paul Goldstein,0.6645751311139027,37
Lukas Dlouhy,0.6628858157662556,30
David Ferrer,0.6608323257920184,67
Alberto Martin,0.660444692815503,40
Florent Serra,0.6588135493955543,49
Boris Pashanski,0.6575705359433652,33
Andrei Pavel,0.6569981918977416,37
Juan Monaco,0.656451904397523,41
Robin Vik,0.6548351578295282,39
Potito Starace,0.6477405080244477,30
Jan Hernych,0.644226530329409,38
Christophe Rochus,0.6226459433793372,41
Filippo Volandri,0.6223214249221858,61
