Winner,Grass
Williams S.,7
Muguruza G.,6
Sharapova M.,5
Radwanska A.,5
Azarenka V.,4
Bacsinszky T.,4
Keys M.,4
Vandeweghe C.,4
Govortsova O.,3
Niculescu M.,3
Jankovic J.,3
Safarova L.,3
Wozniacki C.,3
Bencic B.,3
Williams V.,3
Diyas Z.,3
Kerber A.,2
Mattek-Sands B.,2
Lisicki S.,2
Kvitova P.,2
Mladenovic K.,2
Krunic A.,2
Watson H.,2
Rybarikova M.,2
Maria T.,2
Begu I.,2
Petkovic A.,2
Pliskova Kr.,2
Giorgi C.,2
Stephens S.,2
Stosur S.,2
Dellacqua C.,2
Putintseva Y.,1
Tomljanovic A.,1
Radwanska U.,1
Rodina E.,1
Svitolina E.,1
Sasnovich A.,1
Soler Espinosa S.,1
Tsurenko L.,1
Pliskova Ka.,1
Allertova D.,1
Pavlyuchenkova A.,1
Ostapenko J.,1
Babos T.,1
Cepelova J.,1
Cornet A.,1
Davis L.,1
Duan Y.Y.,1
Duque Marino M.,1
Errani S.,1
Flipkens K.,1
Friedsam A.L.,1
Hantuchova D.,1
Hogenkamp R.,1
Hsieh S.W.,1
Ivanovic A.,1
Kulichkova E.,1
Kuznetsova S.,1
Lucic M.,1
Arruabarrena L.,1
Mchale C.,1
Nara K.,1
Makarova E.,1
