Continent,Winner,Surface,Wins
OC,Dimitrov G.,Hard,7
OC,Sinner J.,Hard,7
OC,Lehecka J.,Hard,6
OC,Medvedev D.,Hard,6
OC,Djokovic N.,Hard,5
AS,Humbert U.,Hard,11
AS,Khachanov K.,Hard,11
AS,Rublev A.,Hard,10
AS,Sinner J.,Hard,10
AS,Medvedev D.,Hard,9
EU,De Minaur A.,Hard,12
EU,Dimitrov G.,Hard,12
EU,Humbert U.,Hard,10
EU,Khachanov K.,Hard,10
EU,Rune H.,Hard,10
NA,Sinner J.,Hard,24
NA,Tiafoe F.,Hard,19
NA,Shelton B.,Hard,16
NA,Zverev A.,Hard,16
NA,Paul T.,Hard,15
