,player,passed_at_net,net_pts,passing_shot
0,Martina Navratilova,39,162,24.074074074074073
1,Sara Errani,13,69,18.84057971014493
2,Kiki Bertens,19,101,18.81188118811881
3,Victoria Azarenka,19,110,17.272727272727273
4,Serena Williams,17,126,13.492063492063492
5,Iga Swiatek,11,88,12.5
6,Steffi Graf,17,137,12.408759124087592
7,Arantxa Sanchez Vicario,8,81,9.876543209876543
8,Bianca Andreescu,17,173,9.826589595375722
9,Garbine Muguruza,6,79,7.59493670886076
