,player,pts_won,net_pts,net_efficiency
0,Hugo Dellien,18,22,81.81818181818183
1,Carlos Alcaraz,87,108,80.55555555555556
2,Casper Ruud,29,37,78.37837837837837
3,Roberto Carballes Baena,23,30,76.66666666666667
4,Nicolas Jarry,29,38,76.31578947368422
5,Rafael Nadal,28,37,75.67567567567568
6,Pablo Carreno Busta,25,35,71.42857142857143
7,Dominic Thiem,35,50,70.0
8,Aljaz Bedene,15,22,68.18181818181817
9,Jaume Munar,15,22,68.18181818181817
10,Thiago Monteiro,19,28,67.85714285714286
11,Joao Fonseca,15,23,65.21739130434783
