Winner,Grass
Federer R.,7
Nadal R.,6
Gasquet R.,5
Djokovic N.,5
Ferrero J.C.,4
Roddick A.,4
Baghdatis M.,4
Berdych T.,4
Tsonga J.W.,3
Tipsarevic J.,3
Haas T.,3
Davydenko N.,3
Mathieu P.H.,3
Hewitt L.,3
Bjorkman J.,3
Youzhny M.,3
Lopez F.,2
Lee H.T.,2
Arthurs W.,2
Nieminen J.,2
Monfils G.,2
Nalbandian D.,2
Roger-Vasselin E.,2
Safin M.,2
Soderling R.,2
Tursunov D.,2
Verdasco F.,2
Kiefer N.,2
Ljubicic I.,2
Canas G.,2
Blake J.,2
Gonzalez F.,2
Hernych J.,1
Dancevic F.,1
Santoro F.,1
Seppi A.,1
Serra F.,1
Simon G.,1
Chela J.I.,1
Calleri A.,1
Delic A.,1
Bolelli S.,1
Udomchoke D.,1
Vliegen K.,1
Wang Y.T.,1
Berrer M.,1
Del Potro J.M.,1
Robredo T.,1
Lapentti N.,1
Qureshi A.,1
Pavel A.,1
Devilder N.,1
Eschauer W.,1
Falla A.,1
Muller G.,1
Ferrer D.,1
Mirnyi M.,1
Mayer F.,1
Mahut N.,1
Grosjean S.,1
Llodra M.,1
Guccione A.,1
Henman T.,1
Zib T.,1
