,player,passed_at_net,net_pts,passing_shot
0,Elina Svitolina,250,1452,17.21763085399449
1,Steffi Graf,208,1309,15.889992360580596
2,Caroline Wozniacki,242,1543,15.683732987686325
3,Martina Navratilova,411,2981,13.787319691378732
4,Venus Williams,195,1541,12.654120700843608
5,Kiki Bertens,203,1870,10.855614973262032
6,Serena Williams,195,1836,10.620915032679738
7,Iga Swiatek,132,1377,9.586056644880173
8,Bianca Andreescu,274,2941,9.316558993539612
9,Garbine Muguruza,121,1336,9.056886227544911
