Winner,Hard
Williams S.,7
Azarenka V.,6
Li N.,5
Pennetta F.,5
Hantuchova D.,4
Makarova E.,4
Suarez Navarro C.,4
Vinci R.,4
Kerber A.,3
Ivanovic A.,3
Stephens S.,3
Giorgi C.,3
Radwanska A.,3
Halep S.,3
Jankovic J.,3
Riske A.,3
Lisicki S.,2
Zheng J.,2
Mchale C.,2
Kuznetsova S.,2
Nara K.,2
Pavlyuchenkova A.,2
Shvedova Y.,2
Kvitova P.,2
Kirilenko M.,2
Knapp K.,2
Hampton J.,2
Wozniacki C.,2
Cornet A.,2
Glushko J.,2
Kanepi K.,2
Robson L.,2
Vandeweghe C.,1
Svitolina E.,1
Vekic D.,1
Torro Flor M.T.,1
Vesnina E.,1
Vickery S.,1
Voskoboeva G.,1
Scheepers C.,1
Williams V.,1
Tomljanovic A.,1
Schmiedlova A.,1
Wozniak A.,1
Arvidsson S.,1
Safarova L.,1
Garcia C.,1
Barthel M.,1
Barty A.,1
Bouchard E.,1
Cirstea S.,1
Dulgheru A.,1
Duval V.,1
Errani S.,1
Hsieh S.W.,1
Radwanska U.,1
Jovanovski B.,1
Kleybanova A.,1
Larcherde Brito M.,1
Mattek-Sands B.,1
Mladenovic K.,1
Ormaechea P.,1
Peng S.,1
Mayr P.,1
