Winner,Clay
Williams S.,7
Sharapova M.,6
Azarenka V.,5
Errani S.,5
Jankovic J.,4
Kirilenko M.,4
Radwanska A.,4
Kuznetsova S.,4
Stephens S.,3
Schiavone F.,3
Kerber A.,3
Mattek-Sands B.,3
Ivanovic A.,3
Hampton J.,3
Vinci R.,3
Suarez Navarro C.,3
Pfizenmaier D.,2
Ormaechea P.,2
Voegele S.,2
Stosur S.,2
Bartoli M.,2
Lepchenko V.,2
Razzano V.,2
Kvitova P.,2
Puig M.,2
Lisicki S.,2
Cornet A.,2
Jovanovski B.,2
Cetkovska P.,2
Cirstea S.,2
Erakovic M.,2
Zheng J.,2
Li N.,1
Johansson M.,1
Wozniacki C.,1
Barty A.,1
Voskoboeva G.,1
Beck A.,1
Bouchard E.,1
Torro Flor M.T.,1
Svitolina E.,1
Burdette M.,1
Cepelova J.,1
Keys M.,1
Soler Espinosa S.,1
Shvedova Y.,1
Cibulkova D.,1
Schmiedlova A.,1
Larsson J.,1
Rybarikova M.,1
Rogers S.,1
King V.,1
Radwanska U.,1
Duque Marino M.,1
Putintseva Y.,1
Kanepi K.,1
Flipkens K.,1
Peng S.,1
Pavlyuchenkova A.,1
Oudin M.,1
Garcia C.,1
Muguruza G.,1
Mladenovic K.,1
Kucova Z.,1
