,player,passed_at_net,net_pts,passing_shot
0,Victoria Azarenka,9,45,20.0
1,Jessica Pegula,5,29,17.24137931034483
2,Steffi Graf,5,30,16.666666666666664
3,Coco Vandeweghe,3,28,10.714285714285714
4,Bianca Andreescu,8,77,10.38961038961039
5,Lindsay Davenport,3,29,10.344827586206897
6,Camila Giorgi,3,31,9.67741935483871
7,Arantxa Sanchez Vicario,3,58,5.172413793103448
8,Caroline Wozniacki,1,23,4.3478260869565215
9,Petra Kvitova,2,48,4.166666666666666
