,player,passed_at_net,net_pts,passing_shot
0,Helena Sukova,28,125,22.400000000000002
1,Martina Navratilova,41,193,21.243523316062177
2,Chris Evert,20,129,15.503875968992247
3,Ashleigh Barty,15,97,15.463917525773196
4,Caroline Wozniacki,20,136,14.705882352941178
5,Garbine Muguruza,16,116,13.793103448275861
6,Serena Williams,21,173,12.138728323699421
7,Karolina Muchova,19,157,12.101910828025478
8,Martina Hingis,16,133,12.030075187969924
9,Victoria Azarenka,10,107,9.345794392523365
10,Bianca Andreescu,5,97,5.154639175257731
