,player,passed_at_net,net_pts,passing_shot
0,Karolina Muchova,4,12,33.33333333333333
1,Jessica Pegula,4,17,23.52941176470588
2,Victoria Azarenka,5,24,20.833333333333336
3,Steffi Graf,5,28,17.857142857142858
4,Coco Vandeweghe,3,18,16.666666666666664
5,Petra Kvitova,2,17,11.76470588235294
6,Bianca Andreescu,5,56,8.928571428571429
7,Caroline Wozniacki,1,12,8.333333333333332
8,Lindsay Davenport,2,27,7.4074074074074066
9,Daniela Hantuchova,1,15,6.666666666666667
10,Arantxa Sanchez Vicario,3,51,5.88235294117647
