,player,passed_at_net,net_pts,passing_shot
0,Coco Gauff,4,12,33.33333333333333
1,Karolina Pliskova,7,24,29.166666666666668
2,Jessica Pegula,4,14,28.57142857142857
3,Eugenie Bouchard,4,16,25.0
4,Elina Svitolina,3,13,23.076923076923077
5,Belinda Bencic,2,12,16.666666666666664
6,Caroline Wozniacki,4,24,16.666666666666664
7,Garbine Muguruza,2,12,16.666666666666664
8,Elena Rybakina,2,17,11.76470588235294
9,Bianca Andreescu,14,167,8.383233532934131
10,Kiki Bertens,1,15,6.666666666666667
11,Serena Williams,1,20,5.0
