Winner,Hard
Federer R.,7
Djokovic N.,6
Davydenko N.,5
Ferrer D.,5
Moya C.,4
Roddick A.,4
Chela J.I.,4
Haas T.,4
Lopez F.,3
Lee H.T.,3
Gulbis E.,3
Blake J.,3
Wawrinka S.,3
Nadal R.,3
Berdych T.,3
Monaco J.,3
Nalbandian D.,2
Ljubicic I.,2
Almagro N.,2
Kohlschreiber P.,2
Robredo T.,2
Johansson T.,2
Isner J.,2
Koubek S.,2
Grosjean S.,2
Del Potro J.M.,2
Young D.,2
Verdasco F.,2
Calleri A.,2
Tsonga J.W.,2
Ginepri R.,2
Murray A.,2
Simon G.,1
Stepanek R.,1
Santoro F.,1
Tipsarevic J.,1
Serra F.,1
Pavel A.,1
Sela D.,1
Odesnik W.,1
Safin M.,1
Youzhny M.,1
Petzschner P.,1
Acasuso J.,1
Mirnyi M.,1
Melzer J.,1
Andreev I.,1
Berrer M.,1
Bjorkman J.,1
Bolelli S.,1
Canas G.,1
Capdeville P.,1
Clement A.,1
Fish M.,1
Gabashvili T.,1
Gasquet R.,1
Henman T.,1
Hewitt L.,1
Horna L.,1
Kiefer N.,1
Kunitsyn I.,1
Llodra M.,1
Malisse X.,1
de Voest R.,1
