,player,passed_at_net,net_pts,passing_shot
0,Stan Wawrinka,14,96,14.583333333333334
1,David Ferrer,12,87,13.793103448275861
2,Rafael Nadal,24,177,13.559322033898304
3,Roger Federer,57,428,13.317757009345794
4,Novak Djokovic,48,404,11.881188118811881
5,Tomas Berdych,15,134,11.194029850746269
6,Juan Martin Del Potro,10,93,10.75268817204301
7,Jo Wilfried Tsonga,10,94,10.638297872340425
8,Feliciano Lopez,9,87,10.344827586206897
9,Sergiy Stakhovsky,16,194,8.24742268041237
10,Andy Murray,9,126,7.142857142857142
