,player,pts_won,net_pts,net_efficiency
0,Kiki Bertens,14,15,93.33333333333333
1,Serena Williams,17,20,85.0
2,Belinda Bencic,10,12,83.33333333333334
3,Bianca Andreescu,121,167,72.45508982035929
4,Eugenie Bouchard,10,16,62.5
5,Elina Svitolina,8,13,61.53846153846154
6,Karolina Pliskova,14,24,58.333333333333336
7,Elena Rybakina,8,17,47.05882352941176
8,Caroline Wozniacki,11,24,45.83333333333333
9,Jessica Pegula,6,14,42.857142857142854
10,Coco Gauff,5,12,41.66666666666667
11,Garbine Muguruza,5,12,41.66666666666667
