,player,pts_won,net_pts,net_efficiency
0,Aryna Sabalenka,48,65,73.84615384615385
1,Julia Goerges,56,80,70.0
2,Anastasia Pavlyuchenkova,27,39,69.23076923076923
3,Venus Williams,68,101,67.32673267326733
4,Garbine Muguruza,74,113,65.48672566371681
5,Caroline Wozniacki,38,59,64.40677966101694
6,Roberta Vinci,31,49,63.26530612244898
7,Eugenie Bouchard,24,39,61.53846153846154
8,Madison Keys,30,50,60.0
9,Ashleigh Barty,34,62,54.83870967741935
10,Jelena Ostapenko,21,39,53.84615384615385
11,Elina Svitolina,29,55,52.72727272727272
