Winner,Grass
Vondrousova M.,7
Jabeur O.,6
Sabalenka A.,5
Svitolina E.,5
Pegula J.,4
Rybakina E.,4
Keys M.,4
Swiatek I.,4
Haddad Maia B.,3
Alexandrova E.,3
Kvitova P.,3
Bencic B.,3
Tsurenko L.,3
Azarenka V.,3
Andreeva M.,3
Bouzkova M.,3
Linette M.,2
Kostyuk M.,2
Potapova A.,2
Andreescu B.,2
Martic P.,2
Kenin S.,2
Kasatkina D.,2
Galfi D.,2
Cirstea S.,2
Garcia C.,2
Vekic D.,2
Blinkova A.,2
Stevanovic N.,2
Bogdan A.,2
Cocciaretto E.,2
Boulter K.,2
Podoroska N.,1
Parry D.,1
Sasnovich A.,1
Tomova V.,1
Siniakova K.,1
Strycova B.,1
Stephens S.,1
Sorribes Tormo S.,1
Ostapenko J.,1
Parks A.,1
Kontaveit A.,1
Niemeier J.,1
Cristian J.,1
Badosa P.,1
Bai Z.,1
Begu I.,1
Brengle M.,1
Bucsa C.,1
Burrage J.,1
Collins D.,1
Cornet A.,1
Fernandez L.A.,1
Mertens E.,1
Golubic V.,1
Gracheva V.,1
Juvan K.,1
Kalinina A.,1
Korpatsch T.,1
Krejcikova B.,1
Kudermetova V.,1
Masarova R.,1
Wang Xin.,1
