Winner,Clay
Medina Garrigues A.,23
Wozniacki C.,20
Azarenka V.,16
Goerges J.,16
Hercog P.,16
Vinci R.,15
Li N.,15
Errani S.,13
Schiavone F.,13
Petkovic A.,13
Hantuchova D.,12
Larsson J.,12
Stosur S.,12
Sharapova M.,12
Bartoli M.,12
Pous-Tio L.,11
Jankovic J.,11
Dominguez Lino L.,11
Begu I.,11
Peng S.,10
Zakopalova K.,10
Pavlyuchenkova A.,10
Brianti A.,9
Kvitova P.,9
Vesnina E.,9
Dulko G.,9
Johansson M.,8
Arn G.,8
Martinez-Sanchez M.J.,8
Parra Santonja A.,8
Gajdosova J.,8
Wickmayer Y.,8
Zvonareva V.,8
Barrois K.,8
Mattek-Sands B.,7
Arvidsson S.,7
Suarez Navarro C.,7
Kuznetsova S.,7
Radwanska A.,7
Hradecka L.,7
Kirilenko M.,6
Safina D.,6
Mayr P.,6
Dulgheru A.,6
Bondarenko K.,5
Cabeza-Candela E.,5
Lisicki S.,5
Makarova E.,5
Cirstea S.,5
Halep S.,5
Safarova L.,5
Zahlavova Strycova B.,5
Pennetta F.,5
Morita A.,4
Mirza S.,4
King V.,4
Mchale C.,4
Pervak K.,4
Scheepers C.,4
Martic P.,4
Pironkova T.,4
Kleybanova A.,4
Rodionova An.,4
Peer S.,3
Kucova Z.,3
Kudryavtseva A.,3
Lucic M.,3
Lepchenko V.,3
Llagostera Vives N.,3
Parmentier P.,3
Petrova N.,3
Meusburger Y.,3
Birnerova E.,3
Niculescu M.,3
Cibulkova D.,3
Cetkovska P.,3
Cornet A.,3
Dushevina V.,3
Dolonts V.,3
Craybas J.,3
Flipkens K.,3
Han X.,2
Shvedova Y.,2
Garcia Vidagany B.,2
Oudin M.,2
Lalami N.,2
Rus A.,2
Gallovits E.,2
Razzano V.,2
Rezai A.,2
Castano C.,2
Marino R.,2
Dellacqua C.,2
Falconi I.,2
Evtimova D.,2
Pivovarova A.,2
Benesova I.,2
Chan Y.J.,2
Soler Espinosa S.,2
Oprandi R.,2
Arruabarrena-Vecino L.,2
Baltacha E.,2
Szavay A.,2
Tatishvili A.,2
Yakimova A.,2
Tsurenko L.,2
Zheng J.,2
Zahlavova S.,2
Jovanovski B.,2
Kanepi K.,2
Clijsters K.,1
Pliskova Kr.,1
Dentoni C.,1
Spears A.,1
Dokic J.,1
Camerin M.E.,1
Wozniak A.,1
Zhang S.,1
Bondarenko A.,1
Paszek T.,1
Arruabarrena Vecino L.,1
Voskoboeva G.,1
Barthel M.,1
Watson H.,1
Stephens S.,1
Radwanska U.,1
Rodina E.,1
Voracova R.,1
Voegele S.,1
Babos T.,1
Rybarikova M.,1
Daniilidou E.,1
Savchuk O.,1
Van Uytvanck A.,1
Tomljanovic A.,1
Bammer S.,1
Amanmuradova A.,1
Krunic A.,1
Ivanovic A.,1
Bratchikova N.,1
Foretz S.,1
Garcia C.,1
Bremond I.,1
Fichman S.,1
Govortsova O.,1
Kerber A.,1
Mijacika A.,1
Gojnea M.,1
Kolar N.,1
Hofmanova N.,1
Tanasugarn T.,0
Gronert S.,0
Koryttseva M.,0
Krajicek M.,0
Kremer A.,0
Vandeweghe C.,0
Bacsinszky T.,0
Stevenson A.,0
Keys M.,0
Dubois S.,0
Keothavong A.,0
Broady N.,0
Kucova K.,0
Groth J.,0
Coin J.,0
Williams S.,0
Williams V.,0
Woerle K.,0
Ivanova E.,0
Hsieh S.W.,0
Hampton J.,0
Hlavackova A.,0
Cadantu A.,0
Zhao Y.J.,0
Henin J.,0
Wannasuk N.,0
Brengle M.,0
Glatch A.,0
Riske A.,0
Ondraskova Z.,0
Nara K.,0
Molik A.,0
Erakovic M.,0
Minella M.,0
Doi M.,0
Diyas Z.,0
Mikadze T.,0
Diatchenko V.,0
Chakvetadze A.,0
Bouchard E.,0
Bovina E.,0
Manasieva V.,0
Luzhanska T.,0
Robson L.,0
Kulikova R.,0
Fujiwara R.,0
Date-Krumm K.,0
Rodionova Ar.,0
Lertcheewakarn N.,0
Date Krumm K.,0
Savinykh V.,0
Czink M.,0
Larriere V.,0
Schnyder P.,0
Schoofs B.,0
Sema E.,0
Sevastova A.,0
Chang K.C.,0
Sharipova S.,0
Peers S.,0
