Player,Second Serve Win %,num_matches
Rafael Nadal,0.6052754673200569,49
Roger Federer,0.6002531766044111,61
Novak Djokovic,0.5811918565158057,66
Milos Raonic,0.5804888766547663,51
Philipp Kohlschreiber,0.5796710691161973,48
Borna Coric,0.5757452395508319,60
John Isner,0.567531607978273,58
Pablo Cuevas,0.5644201344775515,33
Marius Copil,0.5610963655405594,40
Kei Nishikori,0.558631383907441,64
Marin Cilic,0.555809534335048,65
Kevin Anderson,0.5525065637730467,69
Nick Kyrgios,0.5480171131799828,40
Kyle Edmund,0.5447360692420328,59
Stefanos Tsitsipas,0.5445883118254966,73
Maximilian Marterer,0.543286618509055,41
Steve Johnson,0.542037862572511,51
Stan Wawrinka,0.5413544699641277,34
Alexander Zverev,0.5401785167773774,79
Pablo Carreno Busta,0.539620810620693,53
Roberto Bautista Agut,0.5395326267405087,53
Mikhail Kukushkin,0.5392680751970184,43
Karen Khachanov,0.5388324285899248,66
Dominic Thiem,0.5377456772691557,75
Dusan Lajovic,0.5376098564812843,48
Jared Donaldson,0.5361927704741509,33
Juan Martin del Potro,0.5355808351472641,61
Guido Pella,0.534815291110115,47
Alex De Minaur,0.5322012301592547,52
Leonardo Mayer,0.531943830623815,47
Ryan Harrison,0.5319331857552186,43
David Goffin,0.531084297268197,46
Frances Tiafoe,0.5291966179328106,55
Mirza Basic,0.5269407158244093,33
Nicolas Jarry,0.5268717381813524,50
Matteo Berrettini,0.5263661995904787,38
Hyeon Chung,0.5245508774806537,47
Filip Krajinovic,0.5243750791886019,31
John Millman,0.524112319553946,38
Marton Fucsovics,0.5219844744462526,50
Fabio Fognini,0.5200992206168791,70
Richard Gasquet,0.5194352533973423,59
Sam Querrey,0.5174472954095023,46
Pierre Hugues Herbert,0.5154445592853976,45
Denis Istomin,0.5151851355256976,33
Denis Shapovalov,0.5130887386372304,63
Daniil Medvedev,0.511056566350983,65
Jack Sock,0.5098988641122582,31
Nikoloz Basilashvili,0.5097227407185557,57
Taro Daniel,0.5090906778279308,35
Evgeny Donskoy,0.5084058699657918,36
Gilles Simon,0.5082891854661021,57
Adrian Mannarino,0.5050366599585526,56
Taylor Fritz,0.5042285101307351,43
Diego Schwartzman,0.5024441454976581,59
Joao Sousa,0.5020806769726165,53
Lucas Pouille,0.5015949286007431,46
Matthew Ebden,0.5011118189368307,41
Guillermo Garcia Lopez,0.4997080576143632,39
Tennys Sandgren,0.49906017054037455,36
Gael Monfils,0.4986932012550809,50
Jiri Vesely,0.49811126958434904,34
Aljaz Bedene,0.4958879171516287,38
Radu Albot,0.4948055002446312,35
Cameron Norrie,0.4932016432070843,37
Andreas Seppi,0.4930726721097375,47
Robin Haase,0.4927092764853371,55
Peter Gojowczyk,0.4924635526634476,48
Roberto Carballes Baena,0.49173979509404525,31
Albert Ramos,0.49045188866058725,49
Jeremy Chardy,0.490375641168507,47
Mischa Zverev,0.48985430191811674,48
Grigor Dimitrov,0.4882722183540632,44
Fernando Verdasco,0.48741789853863315,61
Marco Cecchinato,0.487291074095824,46
Feliciano Lopez,0.48599463112049707,43
Yuichi Sugita,0.48479021870895445,32
Malek Jaziri,0.4842854655043945,44
Damir Dzumhur,0.4839548512344339,56
Jan Lennard Struff,0.482913576627851,48
Andrey Rublev,0.4448993675859728,43
Benoit Paire,0.4435810969415378,55
