Player,First Serve %,num_matches
Tommy Robredo,0.6858639121262423,64
Jarkko Nieminen,0.6814143286704275,70
Brian Vahaly,0.676593026830174,35
Sjeng Schalken,0.6705830889492185,66
Filippo Volandri,0.6685392281831851,37
Guillermo Coria,0.6663930554556026,78
Nikolay Davydenko,0.6656922844643036,63
Luis Horna,0.6627449274914692,39
Younes El Aynaoui,0.6568042221366363,68
Jiri Novak,0.6542010215009426,74
Christophe Rochus,0.6523271655724621,33
Max Mirnyi,0.6368647883622672,69
Hyung Taik Lee,0.635418328455476,41
Gaston Gaudio,0.6310713400587243,66
Vladimir Voltchkov,0.6299846473446022,30
Alberto Martin,0.6230756094000545,45
Andre Agassi,0.6212097008990951,57
Andy Roddick,0.6182508438924731,91
Olivier Rochus,0.6175080327051723,54
Sargis Sargsian,0.6173709690772837,54
Nicolas Lapentti,0.6149756641299999,48
Felix Mantilla,0.6114747151626784,49
Radek Stepanek,0.6088746634984183,52
Robby Ginepri,0.6066546596180641,50
Raemon Sluiter,0.6053601960970251,45
Dominik Hrbaty,0.604240934955842,52
James Blake,0.603503167033282,58
Nicolas Massu,0.601913041622395,56
Juan Carlos Ferrero,0.6011866132929304,88
Rainer Schuettler,0.6000812350349549,102
Stefan Koubek,0.5999888872492942,47
Fabrice Santoro,0.5991967728023355,40
Fernando Gonzalez,0.5985156478757231,62
Albert Costa,0.59828439172441,44
Roger Federer,0.5954723472264026,96
Hicham Arazi,0.5929886700987739,45
Michel Kratochvil,0.5924276523218198,35
David Ferrer,0.5918904642139634,47
Yevgeny Kafelnikov,0.5893139861974784,55
Mariano Zabaleta,0.5882096658682494,59
Tim Henman,0.5882001812936261,48
Juan Ignacio Chela,0.5876810856904959,63
Davide Sanguinetti,0.5873277957095042,41
Martin Verkerk,0.5847422050821027,50
Kenneth Carlsen,0.582344521343407,41
Feliciano Lopez,0.5820307854072638,65
David Nalbandian,0.580029587418704,63
Mario Ancic,0.579374176631485,36
Jonas Bjorkman,0.5791297404390842,53
David Sanchez,0.577455359698595,50
Antony Dupuis,0.5770637832875394,39
Wayne Ferreira,0.5761737058701351,45
Albert Portas,0.5730500795350532,30
Karol Kucera,0.5726527638322836,43
Mikhail Youzhny,0.5716436908973977,56
Wayne Arthurs,0.5691974296818023,38
Flavio Saretta,0.5679112112033379,46
Jurgen Melzer,0.567764568076182,34
Lars Burgsmuller,0.5669448196236015,42
Jan Michael Gambill,0.5647308879378705,47
Alex Corretja,0.5645584563511485,37
Jose Acasuso,0.5644568324499049,30
Fernando Vicente,0.564166361780638,49
Arnaud Clement,0.5626299178373935,51
Mark Philippoussis,0.5609827862578431,58
Ivan Ljubicic,0.5582654120557092,54
Gustavo Kuerten,0.5558500306611398,63
Paradorn Srichaphan,0.5553371807904824,79
Carlos Moya,0.552527268841573,80
Taylor Dent,0.5509061487528017,41
Thomas Enqvist,0.5478642279695929,40
Jean Rene Lisnard,0.5449145944974213,35
Franco Squillari,0.5406044497535899,35
Vincent Spadea,0.5399008125813913,59
Mardy Fish,0.5342474211161182,64
Karol Beck,0.5321098196565017,34
Agustin Calleri,0.5314264504418009,57
Xavier Malisse,0.5273402019112986,39
Sebastien Grosjean,0.5269065020564516,57
Lleyton Hewitt,0.5186389641933706,47
Nicolas Kiefer,0.5077796930544591,36
Olivier Mutis,0.5035509870976606,34
Paul Henri Mathieu,0.5024138208295593,39
