Player,First Serve Win %,num_matches
Ivo Karlovic,0.8413063051848204,64
Milos Raonic,0.8261016102716011,69
Roger Federer,0.8020144582150421,87
Sam Querrey,0.7935300914856037,50
John Isner,0.7906709726975074,60
Marin Cilic,0.7901135947981333,75
Stan Wawrinka,0.7880935537164703,59
Tomas Berdych,0.7876710845020138,78
Ernests Gulbis,0.7853922074809082,62
Grigor Dimitrov,0.7759899930181041,69
Feliciano Lopez,0.7718079242919621,67
Jo-Wilfried Tsonga,0.7710426697848638,56
Kevin Anderson,0.7663268986927483,63
Steve Johnson,0.7657527394374092,40
Jack Sock,0.765121946062936,47
Jeremy Chardy,0.7618692301104258,60
Alexandr Dolgopolov,0.7601776080964333,49
Novak Djokovic,0.7552302518745097,73
Vasek Pospisil,0.7507647973538688,45
Andy Murray,0.7503265545725816,80
Gael Monfils,0.7470986253311256,51
David Goffin,0.7457274351114419,40
Leonardo Mayer,0.745377891105864,48
Ivan Dodig,0.7444082981633938,38
Tommy Robredo,0.7409962255306777,69
Benjamin Becker,0.739521121111918,53
Jan Lennard Struff,0.738513241435715,32
Philipp Kohlschreiber,0.7355939299027634,63
Bernard Tomic,0.7355210815346235,33
Jerzy Janowicz,0.7350566597746245,50
Kei Nishikori,0.7339644196901178,69
Martin Klizan,0.7329178666795175,42
Julien Benneteau,0.7306154050003743,50
Rafael Nadal,0.7301854455949393,60
Thomaz Bellucci,0.7300442480931478,31
Igor Sijsling,0.7300256712681096,38
Sergiy Stakhovsky,0.7289184058233605,38
Richard Gasquet,0.7281614586192471,51
Radek Stepanek,0.7279551389860608,35
Dominic Thiem,0.7257836471729034,46
Lukas Lacko,0.722381988125476,32
Nicolas Mahut,0.7220393175273199,37
Jiri Vesely,0.7220131450841428,33
Lleyton Hewitt,0.7218135259607825,36
Denis Istomin,0.7215278911703693,54
Pablo Cuevas,0.7199860346213929,30
Fernando Verdasco,0.7169761146732923,46
Yen Hsun Lu,0.7168231768602179,47
Lukas Rosol,0.7152180803576981,59
Gilles Simon,0.7144465768737837,53
Federico Delbonis,0.7114542805172971,47
Marinko Matosevic,0.7081112788629398,44
Edouard Roger-Vasselin,0.7046407847211115,49
Dusan Lajovic,0.7026290920067818,35
Santiago Giraldo,0.7022392181423767,58
Roberto Bautista Agut,0.6998998714777097,69
David Ferrer,0.6994641616293985,79
Daniel Gimeno Traver,0.6990988609832013,31
Robin Haase,0.6965378456432144,41
Andreas Seppi,0.6911083289921279,55
Donald Young,0.6907873153466745,40
Guillermo Garcia Lopez,0.6903093266281936,51
Jarkko Nieminen,0.6902603575505016,53
Dmitry Tursunov,0.687875395930704,34
Fabio Fognini,0.6876939682395695,66
Pablo Carreno Busta,0.6869601181323126,39
Marcel Granollers,0.6848997048660943,47
Dudi Sela,0.6805241930673709,39
Mikhail Kukushkin,0.6799309603243501,43
Adrian Mannarino,0.6789407010650249,39
Joao Sousa,0.675630737271016,60
Jurgen Melzer,0.6718317996129994,36
Teymuraz Gabashvili,0.6715300066714802,45
Mikhail Youzhny,0.6685912231420951,42
Carlos Berlocq,0.666529176005638,38
Alejandro Gonzalez,0.6606857697765888,30
Albert Ramos,0.6586227989831759,33
Andrey Golubev,0.6565055314693414,35
Pablo Andujar,0.6476804150906389,46
Juan Monaco,0.6469198720222866,42
