Player,Second Serve Win %,num_matches
Christopher Rungkat,0.6142857142857143,32
Roger Federer,0.5848456411537273,1450
Kittipong Wachiramanowong,0.5838839989437071,32
Rafael Nadal,0.576938114803335,1236
Andy Roddick,0.5713248814421084,827
Novak Djokovic,0.5690158998239625,1294
John Isner,0.5657529576767797,747
Milos Raonic,0.5621430112950749,535
Marcelo Arevalo,0.5603098208980561,45
Andre Agassi,0.5595273792988328,358
Carlos Alcaraz,0.5589727961553599,221
Reilly Opelka,0.5584778729641465,164
Stefanos Tsitsipas,0.5553519974001672,464
Jannik Sinner,0.5524242179870353,303
Casper Ruud,0.5503978800771561,347
Patrick Rafter,0.548379971424964,119
Juan Carlos Ferrero,0.5474822925723307,717
Philipp Kohlschreiber,0.5468147260749733,829
Roberto Bautista Agut,0.5460321928984747,596
Wayne Arthurs,0.5440580586021059,259
Juan Martin del Potro,0.5437034890296085,566
Brandon Nakashima,0.5422740039095947,136
Scott Draper,0.5419716811822679,58
Miomir Kecmanovic,0.541544110277688,264
Stan Wawrinka,0.5407385081174942,893
Juan Ignacio Londero,0.5398174457153588,85
Yoshihito Nishioka,0.5391160439860689,245
Francisco Clavet,0.5387343059527315,148
Dominic Thiem,0.5384201573897516,486
Nick Kyrgios,0.5375068706513983,277
Ivo Karlovic,0.5370649921413021,684
Holger Rune,0.5364108424102801,190
Sebastien Grosjean,0.5362612323305164,485
Lleyton Hewitt,0.535990795808851,799
Kevin Anderson,0.5359049739021056,561
Alex De Minaur,0.5358577788433772,368
Tomas Berdych,0.5353823591573268,934
Kei Nishikori,0.5352932159893693,611
Richard Gasquet,0.5352057147663248,967
Takao Suzuki,0.5351098049844211,63
Greg Rusedski,0.5347750162365965,292
David Ferrer,0.5343613772596569,1073
Nicolas Almagro,0.5343524559615673,657
Matteo Berrettini,0.5338594350275127,251
Marat Safin,0.5336046276273205,586
Jo-Wilfried Tsonga,0.533408671736671,660
Pete Sampras,0.5329798005686821,151
Juan Balcells,0.532972192201706,84
Joachim Johansson,0.5327022690217328,133
Tommy Paul,0.53265071097956,253
Gustavo Kuerten,0.5321339547177288,332
Marc Andrea Huesler,0.5314718287692525,79
Ben Shelton,0.531227753460469,82
Hubert Hurkacz,0.5312089398216164,326
Marius Copil,0.5309367891860652,135
Tommy Haas,0.5307752329019315,710
Maxime Cressy,0.5307040929222766,98
Nicolas Jarry,0.5304570016650669,208
Mariano Puerta,0.5303474512468309,167
Pablo Carreno Busta,0.5303034784359378,420
