Player,Ace Rate,num_matches
John Isner,0.2409285894394669,41
Reilly Opelka,0.20268731319990418,36
Nick Kyrgios,0.19814959513826097,52
Maxime Cressy,0.17538930863261515,53
Alexander Bublik,0.1737945002948847,60
Hubert Hurkacz,0.16174971947101846,62
Felix Auger Aliassime,0.14943530596668134,87
Matteo Berrettini,0.1460195022654906,44
Marin Cilic,0.13980806768634385,54
Thanasi Kokkinakis,0.1390546994434533,34
Taylor Fritz,0.12721449029106274,68
Arthur Rinderknech,0.12460963421455272,42
Jack Draper,0.1223230447776969,33
Daniil Medvedev,0.12127353218044343,64
Steve Johnson,0.1208697391482733,34
Oscar Otte,0.11469542558760402,46
Andrey Rublev,0.10909635014589897,71
Alexander Zverev,0.10766300173651,40
Brandon Nakashima,0.10416722717647436,58
Denis Shapovalov,0.104116173769108,60
Stefanos Tsitsipas,0.09765713972699114,85
Frances Tiafoe,0.0976311198197501,60
Karen Khachanov,0.09111106741349416,62
Borna Coric,0.09061140413285375,33
Benjamin Bonzi,0.08705096395494012,47
Grigor Dimitrov,0.08572049568829798,48
Novak Djokovic,0.08485177848990992,50
Botic Van De Zandschulp,0.08464309174437273,67
Tallon Griekspoor,0.08346396022298816,43
Andy Murray,0.08303983369068971,46
Adrian Mannarino,0.0816974947028006,54
Thiago Monteiro,0.08110964195401699,36
Sebastian Korda,0.0798669423605657,56
Jannik Sinner,0.07966762662718536,64
Casper Ruud,0.07964759498549014,73
Laslo Djere,0.07855324674701446,46
Alejandro Tabilo,0.07517711466865337,33
Lorenzo Sonego,0.07404441580323157,55
Taro Daniel,0.07177198536953942,32
Kamil Majchrzak,0.0716202878586495,31
Mackenzie Mcdonald,0.0693898282827478,54
Marcos Giron,0.0679516239722508,46
Cameron Norrie,0.06647320457308536,76
Holger Rune,0.06437507814329316,64
Daniel Evans,0.06436591623717738,58
Soon Woo Kwon,0.06422319088898783,44
Ugo Humbert,0.06394057614518579,30
Richard Gasquet,0.06265473437373395,45
Jiri Lehecka,0.06160723086743305,32
Rafael Nadal,0.05865636523399838,49
David Goffin,0.058309198871547084,53
Dominic Thiem,0.058214652695084655,34
Aslan Karatsev,0.05809063911722111,46
Pablo Carreno Busta,0.05764907620476214,62
Emil Ruusuvuori,0.05532535345688761,64
Filip Krajinovic,0.05515620763276737,36
Marton Fucsovics,0.054283802871706276,35
Miomir Kecmanovic,0.05423849870998949,64
Ilya Ivashka,0.053671730637590766,43
Jaume Munar,0.05334062327055806,43
Tommy Paul,0.05309724299452473,66
Lorenzo Musetti,0.05294484901102259,63
Alex De Minaur,0.05182360840061023,72
Joao Sousa,0.04936127953772332,35
Alex Molcan,0.04896911894803938,46
Carlos Alcaraz,0.0489506408875051,70
Federico Delbonis,0.048201956161616696,32
Federico Coria,0.04757335168524521,33
Nikoloz Basilashvili,0.04687744985646526,44
Alejandro Davidovich Fokina,0.04675827599403677,47
Dusan Lajovic,0.04663732236123422,34
Roberto Bautista Agut,0.045892158619085265,61
Jenson Brooksby,0.04322602736792738,47
Francisco Cerundolo,0.042414808683483095,45
Fabio Fognini,0.0408013636315528,43
Albert Ramos,0.03803452239569982,52
Yoshihito Nishioka,0.0374578259365443,36
Cristian Garin,0.037312055988467895,41
Mikael Ymer,0.03261955491645084,42
Pedro Martinez,0.03141968594854505,45
Sebastian Baez,0.028696549677422568,56
Diego Schwartzman,0.026219543845538127,57
