Player,Break Point Save %,num_matches
John Isner,0.7806349206349207,48
Rafael Nadal,0.7643009768009768,69
Roger Federer,0.753228021978022,66
Jo-Wilfried Tsonga,0.735901243459383,52
Milos Raonic,0.7347619047619048,38
Reilly Opelka,0.7310801060801061,50
Stan Wawrinka,0.7276882881428336,53
Matteo Berrettini,0.720448532948533,68
Pablo Carreno Busta,0.719133157900367,52
Novak Djokovic,0.7109066736917877,69
Philipp Kohlschreiber,0.6986504236504236,43
Denis Shapovalov,0.6911903348224102,67
Jan Lennard Struff,0.6813015609625779,64
Marin Cilic,0.6774625837125837,42
Dominic Thiem,0.6766937876100771,69
Andrey Rublev,0.6700263070263069,57
Cristian Garin,0.6699990641167112,56
Alexei Popyrin,0.6687823377339507,31
Gilles Simon,0.6670250507650685,55
Miomir Kecmanovic,0.6654205483244509,46
Juan Ignacio Londero,0.6648351648351648,43
Lucas Pouille,0.6626015126015126,42
Felix Auger Aliassime,0.6623379825302902,57
Sam Querrey,0.6619419642857143,41
Fernando Verdasco,0.6611257909617042,53
Gael Monfils,0.659712072241484,58
Jeremy Chardy,0.6593925388337154,55
Kyle Edmund,0.658653846153846,39
Pierre Hugues Herbert,0.6574262661863678,46
Stefanos Tsitsipas,0.6568816166472417,80
Lorenzo Sonego,0.6563469963400711,43
Daniil Medvedev,0.6538921957671957,80
Guido Pella,0.6534253041197486,62
Hubert Hurkacz,0.652869626111314,49
Roberto Bautista Agut,0.652098667615909,65
Borna Coric,0.6520132953466287,50
Nick Kyrgios,0.6519969278033794,38
Jordan Thompson,0.6512530679197346,48
Benoit Paire,0.6426077257102187,63
Albert Ramos,0.6374812412477479,54
Filip Krajinovic,0.6374518691185358,49
Ugo Humbert,0.6371904330237663,40
Robin Haase,0.6368359479572715,33
Alex De Minaur,0.6365708265164787,62
Daniel Evans,0.6359207411838991,40
Cameron Norrie,0.6350385900280858,46
Richard Gasquet,0.633811981819572,35
Aljaz Bedene,0.6302625535384155,38
Nicolas Jarry,0.6266091051805338,40
Mikhail Kukushkin,0.6262456609047518,48
Casper Ruud,0.6256093653820927,42
Alexander Zverev,0.6207533654487436,69
Taylor Fritz,0.6199639929231766,62
John Millman,0.6155509008610032,49
Karen Khachanov,0.614726157680703,59
Grigor Dimitrov,0.6139490375502962,44
Joao Sousa,0.6120414482809441,57
Leonardo Mayer,0.6098933053478508,34
Adrian Mannarino,0.6092394032734941,53
Pablo Cuevas,0.605155843468537,47
Alexander Bublik,0.6047489177489177,30
Steve Johnson,0.6034683058876606,35
Dusan Lajovic,0.6016483252749363,48
Marton Fucsovics,0.6013134414778105,49
Kei Nishikori,0.5992658928373213,43
Damir Dzumhur,0.599056014451235,35
Tennys Sandgren,0.597035166479611,30
Radu Albot,0.5947007137037501,57
Laslo Djere,0.5870942848884025,43
David Goffin,0.5858535353535353,64
Marco Cecchinato,0.5852592534171481,39
Peter Gojowczyk,0.5835855715166061,31
Diego Schwartzman,0.5780318313880932,66
Martin Klizan,0.5773560801338579,30
Roberto Carballes Baena,0.5752838948491122,39
Frances Tiafoe,0.5729429387038083,50
Taro Daniel,0.5719902121687835,31
Andreas Seppi,0.569142531445163,43
Denis Kudla,0.5678881014434973,33
Nikoloz Basilashvili,0.5670263993747876,52
Yoshihito Nishioka,0.5637254450386417,40
Fabio Fognini,0.5550099718179994,55
Federico Delbonis,0.5522540368128603,34
Pablo Andujar,0.5516833630211239,33
Jaume Munar,0.5494674829814148,39
