Player,Second Serve Win %,num_matches
Roger Federer,0.6093441473947651,87
Rafael Nadal,0.5788295993158897,49
David Ferrer,0.577456649397682,91
John Isner,0.5722633228207111,66
Milos Raonic,0.5721263845705643,67
Novak Djokovic,0.5669056985755788,87
Philipp Kohlschreiber,0.560023475112341,67
Richard Gasquet,0.5598488875752388,64
Andy Murray,0.5578131322805949,76
Mardy Fish,0.5537138424635019,33
Juan Martin del Potro,0.5529864604507044,82
Nicolas Almagro,0.551635211642805,83
Tomas Berdych,0.5467809690764374,84
Mikhail Youzhny,0.5456027076980849,55
Andy Roddick,0.544247659533865,39
Janko Tipsarevic,0.5441358476731334,85
Stan Wawrinka,0.5411460752757173,55
Tommy Haas,0.5390162381355702,48
Jo-Wilfried Tsonga,0.538491194211036,82
Radek Stepanek,0.5379939387193743,50
Kevin Anderson,0.5364390823602226,57
Santiago Giraldo,0.5341314740671922,42
Marin Cilic,0.5331061410421573,58
Kei Nishikori,0.5327435745754971,56
Florian Mayer,0.5326754433077285,50
Grigor Dimitrov,0.5324920592875052,43
David Nalbandian,0.5315707425563213,38
Thomaz Bellucci,0.5299603699281711,50
Gilles Simon,0.5275593157391917,69
Sergiy Stakhovsky,0.5274716135433298,44
Juan Monaco,0.5273526526069847,59
Denis Istomin,0.5262715331184165,63
Alexandr Dolgopolov,0.5245032434215248,59
Ryan Harrison,0.5243487310963408,47
Marcos Baghdatis,0.5230002761949627,60
Dudi Sela,0.5228133478749543,31
Ivo Karlovic,0.522668521801133,33
Olivier Rochus,0.5204777890296335,33
Andreas Seppi,0.5202747381390129,65
Jurgen Melzer,0.5193927387424745,45
Xavier Malisse,0.5171165731112941,45
Fernando Verdasco,0.5156251799240333,54
Albert Ramos,0.5150729595418843,56
Feliciano Lopez,0.513933594705744,53
Paul Henri Mathieu,0.5124217365922022,31
Steve Darcis,0.5117517946251022,40
Go Soeda,0.5112194756525408,34
Sam Querrey,0.5109027284396107,62
Lukas Rosol,0.5086180580783741,37
Yen Hsun Lu,0.5078651185870516,30
Martin Klizan,0.5066422145919149,34
Nicolas Mahut,0.5054008501651941,34
Jeremy Chardy,0.5024287220685612,44
Edouard Roger-Vasselin,0.5022652168092568,33
Bernard Tomic,0.5012002725893936,53
Julien Benneteau,0.5000769077954895,50
Carlos Berlocq,0.4984004252491521,56
Guillermo Garcia Lopez,0.4966753484010523,45
David Goffin,0.4930052069966401,31
Lukas Lacko,0.4923959527156401,34
Lleyton Hewitt,0.4896200061544108,30
Marinko Matosevic,0.48941012514974896,36
Nikolay Davydenko,0.48826753001748086,49
Alejandro Falla,0.4870219279772357,39
Lukasz Kubot,0.4854255567949923,50
Gilles Muller,0.4849063889244196,43
Fabio Fognini,0.48468210000469525,46
Jarkko Nieminen,0.4795764206932253,53
Ivan Dodig,0.479552253966236,42
Ernests Gulbis,0.4770626360505325,35
Pablo Andujar,0.47577174666637484,48
Alex Bogomolov Jr,0.4716716003872059,46
Filippo Volandri,0.4713748597455183,32
Robin Haase,0.46780616101421024,47
Benoit Paire,0.46768803174559065,52
Flavio Cipolla,0.4667119784959518,40
Marcel Granollers,0.46410570063446593,46
Viktor Troicki,0.44903500192136137,55
Matthew Ebden,0.4483762322936203,40
