Winner,Grass
Federer R.,7
Roddick A.,6
Haas T.,5
Murray A.,5
Karlovic I.,4
Djokovic N.,4
Ferrero J.C.,4
Hewitt L.,4
Stepanek R.,3
Berdych T.,3
Simon G.,3
Sela D.,3
Verdasco F.,3
Wawrinka S.,3
Andreev I.,3
Soderling R.,3
Levine J.,2
Melzer J.,2
Montanes A.,2
Almagro N.,2
Petzschner P.,2
Robredo T.,2
Seppi A.,2
Troicki V.,2
Tsonga J.W.,2
Hanescu V.,2
Kohlschreiber P.,2
Cilic M.,2
Davydenko N.,2
Gonzalez F.,2
Ferrer D.,2
Fish M.,2
Starace P.,1
Darcis S.,1
Cuevas P.,1
Crivoi V.,1
Spadea V.,1
Gulbis E.,1
Santoro F.,1
Tipsarevic J.,1
Canas G.,1
Bolelli S.,1
Vassallo-Arguello M.,1
Becker B.,1
Vliegen K.,1
Beck K.,1
Schuettler R.,1
Devilder N.,1
Del Potro J.M.,1
Greul S.,1
Querrey S.,1
Fognini F.,1
Minar I.,1
Garcia-Lopez G.,1
Mayer L.,1
Mathieu P.H.,1
Llodra M.,1
Gicquel M.,1
Kunitsyn I.,1
Koubek S.,1
Alves T.,1
Gimeno-Traver D.,1
Granollers M.,1
Zverev M.,1
