Winner,Hard
Tsonga J.W.,5
Chardy J.,4
Ferrer D.,3
Gil F.,3
Baghdatis M.,2
De Chaunac S.,2
Garcia-Lopez G.,2
Vliegen K.,2
Chiudinelli M.,1
De Voest R.,1
Greul S.,1
Istomin D.,1
Klaasen R.,1
Mayer L.,1
Minar I.,1
Van der Merwe I.,1
