Winner,Clay
Federer R.,7
Soderling R.,6
Gonzalez F.,5
Del Potro J.M.,5
Monfils G.,4
Davydenko N.,4
Robredo T.,4
Murray A.,4
Tsonga J.W.,3
Cilic M.,3
Haas T.,3
Roddick A.,3
Kohlschreiber P.,3
Hanescu V.,3
Nadal R.,3
Verdasco F.,3
Rochus C.,2
Mathieu P.H.,2
Melzer J.,2
Almagro N.,2
Simon G.,2
Hewitt L.,2
Ouanna J.,2
Gonzalez M.,2
Ferrer D.,2
Gicquel M.,2
Andreev I.,2
Wawrinka S.,2
Stepanek R.,2
Tipsarevic J.,2
Chardy J.,2
Djokovic N.,2
Troicki V.,1
Petzschner P.,1
Vassallo-Arguello M.,1
Stakhovsky S.,1
Starace P.,1
Rufin G.,1
Safin M.,1
Sela D.,1
Seppi A.,1
Acasuso J.,1
Machado R.,1
Montcourt M.,1
Golubev A.,1
Andujar P.,1
Beck A.,1
Bolelli S.,1
Clement A.,1
Crivoi V.,1
Ferrero J.C.,1
Gabashvili T.,1
Gimeno-Traver D.,1
Gulbis E.,1
Monaco J.,1
Istomin D.,1
Junqueira D.,1
Kendrick R.,1
Kiefer N.,1
Lopez F.,1
Massu N.,1
Mayer L.,1
Minar I.,1
Youzhny M.,1
