Winner,Hard
Medvedev D.,7
Djokovic N.,6
Zverev A.,5
Auger-Aliassime F.,5
Berrettini M.,4
Van De Zandschulp B.,4
Harris L.,4
Alcaraz C.,4
Brooksby J.,3
Tiafoe F.,3
Opelka R.,3
Sinner J.,3
Evans D.,3
Otte O.,3
Schwartzman D.,3
Gojowczyk P.,3
Rublev A.,2
Molcan A.,2
Nishikori K.,2
Popyrin A.,2
Seppi A.,2
Laaksonen H.,2
Shapovalov D.,2
Sock J.,2
Tsitsipas S.,2
Andujar P.,2
Bagnis F.,2
Monfils G.,2
Bautista Agut R.,2
Basilashvili N.,2
Ivashka I.,2
Karatsev A.,2
Kudla D.,1
Ruusuvuori E.,1
Giron M.,1
Garin C.,1
Fritz T.,1
Escobedo E.,1
Svajda Z.,1
Griekspoor T.,1
Thompson J.,1
Dimitrov G.,1
Trungelliti M.,1
Cressy M.,1
Carballes Baena R.,1
Zapata Miralles B.,1
Ruud C.,1
Ramos-Vinolas A.,1
Rinderknech A.,1
Kohlschreiber P.,1
Pospisil V.,1
Pella G.,1
Hurkacz H.,1
Johnson S.,1
Nakashima B.,1
Musetti L.,1
Moutet C.,1
Bublik A.,1
Koepfer D.,1
Mcdonald M.,1
Anderson K.,1
Mannarino A.,1
Lajovic D.,1
Martinez P.,1
